1970-01-01_01-09-15-932, ypr, 6.74, 1.25, -0.32, areal, 525, -718, -1013, accel, 704, -764, 7177, gyro, -2, -3, 0

1970-01-01_01-09-15-957, ypr, 6.68, 1.40, -0.63, areal, 918, -1126, -453, accel, 1118, -1217, 7736, gyro, 2, -4, 3

1970-01-01_01-09-15-983, ypr, 6.59, 1.62, -0.34, areal, 1263, 258, -57, accel, 1495, 210, 8132, gyro, 0, 1, 1

1970-01-01_01-09-16-007, ypr, 6.44, 1.64, -0.21, areal, 1339, 447, 247, accel, 1574, 418, 8437, gyro, -2, 3, 6

1970-01-01_01-09-16-029, ypr, 6.23, 1.76, -0.25, areal, 1716, 277, 145, accel, 1969, 241, 8334, gyro, -5, 4, 6

1970-01-01_01-09-16-055, ypr, 5.99, 1.90, -0.40, areal, 1700, 131, 197, accel, 1972, 75, 8385, gyro, -4, 4, 5

1970-01-01_01-09-16-078, ypr, 5.89, 1.98, -0.47, areal, 1735, 8, 248, accel, 2018, -59, 8435, gyro, -1, 2, 2

1970-01-01_01-09-16-101, ypr, 5.90, 2.20, -0.50, areal, 2035, -271, 420, accel, 2350, -342, 8607, gyro, 1, 0, -1

1970-01-01_01-09-16-126, ypr, 5.96, 2.69, -0.52, areal, 2406, -527, 791, accel, 2791, -602, 8975, gyro, 2, -3, -3

1970-01-01_01-09-16-150, ypr, 6.07, 3.06, -0.46, areal, 2527, -364, 849, accel, 2964, -430, 9030, gyro, 3, -3, -6

1970-01-01_01-09-16-175, ypr, 6.36, 3.51, -0.30, areal, 2340, -398, 1219, accel, 2842, -441, 9397, gyro, 5, -1, -8

1970-01-01_01-09-16-199, ypr, 6.54, 3.72, -0.19, areal, 2141, -554, 1151, accel, 2674, -582, 9326, gyro, 6, 0, -7

1970-01-01_01-09-16-224, ypr, 6.80, 3.93, 0.09, areal, 1627, -48, 758, accel, 2189, -35, 8932, gyro, 5, 0, -8

1970-01-01_01-09-16-247, ypr, 7.01, 3.98, 0.32, areal, 1004, 150, 494, accel, 1573, 196, 8667, gyro, 5, -1, -8

1970-01-01_01-09-16-275, ypr, 7.36, 3.97, 0.56, areal, -155, 73, -90, accel, 412, 153, 8082, gyro, 4, -3, -10

1970-01-01_01-09-16-299, ypr, 7.61, 3.89, 0.70, areal, -1105, 301, -670, accel, -549, 402, 7502, gyro, 2, -6, -10

1970-01-01_01-09-16-325, ypr, 8.02, 3.80, 0.98, areal, -2200, 682, -1324, accel, -1657, 822, 6849, gyro, 0, -11, -9

1970-01-01_01-09-16-350, ypr, 8.23, 3.84, 1.01, areal, -2481, 413, -1625, accel, -1933, 558, 6547, gyro, -2, -13, -6

1970-01-01_01-09-16-376, ypr, 8.41, 4.06, 0.98, areal, -1989, 399, -1487, accel, -1410, 539, 6683, gyro, -3, -13, -4

1970-01-01_01-09-16-401, ypr, 8.47, 4.28, 0.94, areal, -1355, 485, -1102, accel, -744, 620, 7066, gyro, -5, -10, -2

1970-01-01_01-09-16-426, ypr, 8.38, 4.59, 0.72, areal, -672, 304, -712, accel, -17, 407, 7453, gyro, -8, -7, 5

1970-01-01_01-09-16-450, ypr, 8.18, 4.75, 0.44, areal, -325, 121, -475, accel, 353, 184, 7689, gyro, -10, -5, 8

1970-01-01_01-09-16-475, ypr, 7.83, 4.95, -0.04, areal, 233, -111, 247, accel, 941, -117, 8409, gyro, -10, -3, 10

1970-01-01_01-09-16-499, ypr, 7.56, 5.11, -0.37, areal, 746, -382, 568, accel, 1476, -436, 8728, gyro, -9, -1, 10

1970-01-01_01-09-16-524, ypr, 7.15, 5.35, -0.88, areal, 1344, -467, 931, accel, 2108, -592, 9087, gyro, -9, 0, 10

1970-01-01_01-09-16-548, ypr, 6.90, 5.50, -1.15, areal, 1534, -374, 1171, accel, 2320, -538, 9325, gyro, -8, 1, 9

1970-01-01_01-09-16-577, ypr, 6.65, 5.69, -1.49, areal, 1352, -274, 1186, accel, 2165, -487, 9336, gyro, -7, -1, 5

1970-01-01_01-09-16-601, ypr, 6.57, 5.79, -1.70, areal, 1024, -301, 1041, accel, 1851, -544, 9189, gyro, -6, -2, 2

1970-01-01_01-09-16-626, ypr, 6.48, 6.04, -2.05, areal, 593, -429, 998, accel, 1456, -721, 9140, gyro, -6, -8, 3

1970-01-01_01-09-16-651, ypr, 6.40, 6.27, -2.27, areal, 500, -475, 997, accel, 1395, -798, 9134, gyro, -5, -8, 3

1970-01-01_01-09-16-676, ypr, 6.31, 6.67, -2.53, areal, 871, -457, 1124, accel, 1822, -817, 9253, gyro, -4, -6, 2

1970-01-01_01-09-16-699, ypr, 6.24, 6.94, -2.66, areal, 1122, -257, 1080, accel, 2113, -635, 9204, gyro, -4, -5, 4

1970-01-01_01-09-16-725, ypr, 6.05, 7.26, -2.88, areal, 1366, -153, 1141, accel, 2401, -561, 9258, gyro, -6, -1, 5

1970-01-01_01-09-16-749, ypr, 5.93, 7.37, -3.08, areal, 1297, -248, 1223, accel, 2349, -685, 9336, gyro, -6, 1, 5

1970-01-01_01-09-16-772, ypr, 5.77, 7.41, -3.27, areal, 1255, -257, 1240, accel, 2313, -721, 9352, gyro, -4, 1, 7

1970-01-01_01-09-16-796, ypr, 5.53, 7.58, -3.38, areal, 1485, 77, 1239, accel, 2566, -401, 9346, gyro, -3, 1, 5

1970-01-01_01-09-16-819, ypr, 5.43, 7.72, -3.46, areal, 1630, -19, 1292, accel, 2731, -509, 9396, gyro, -3, 0, 3

1970-01-01_01-09-16-844, ypr, 5.36, 7.97, -3.56, areal, 1698, -118, 1367, accel, 2834, -622, 9465, gyro, -2, -1, 1

1970-01-01_01-09-16-868, ypr, 5.37, 8.14, -3.57, areal, 1519, -77, 1286, accel, 2680, -583, 9380, gyro, -1, -2, -1

1970-01-01_01-09-16-898, ypr, 5.52, 8.46, -3.50, areal, 1108, -14, 1087, accel, 2314, -509, 9175, gyro, 1, -6, -6

1970-01-01_01-09-16-921, ypr, 5.69, 8.73, -3.42, areal, 952, -46, 995, accel, 2196, -530, 9079, gyro, 2, -8, -7

1970-01-01_01-09-16-948, ypr, 5.97, 9.18, -3.26, areal, 946, 20, 954, accel, 2254, -439, 9028, gyro, 2, -8, -7

1970-01-01_01-09-16-971, ypr, 6.15, 9.46, -3.12, areal, 814, 90, 889, accel, 2161, -350, 8959, gyro, 2, -7, -7

1970-01-01_01-09-16-997, ypr, 6.39, 9.77, -2.95, areal, 456, 109, 763, accel, 1847, -307, 8827, gyro, 2, -6, -6

1970-01-01_01-09-17-022, ypr, 6.53, 9.93, -2.86, areal, 153, 112, 592, accel, 1567, -290, 8652, gyro, 1, -7, -6

1970-01-01_01-09-17-047, ypr, 6.75, 10.16, -2.73, areal, -226, 107, 512, accel, 1219, -276, 8567, gyro, 1, -8, -5

1970-01-01_01-09-17-072, ypr, 6.88, 10.35, -2.64, areal, -256, 125, 478, accel, 1215, -246, 8529, gyro, 1, -8, -5

1970-01-01_01-09-17-098, ypr, 7.05, 10.66, -2.54, areal, -211, 148, 494, accel, 1304, -208, 8538, gyro, 0, -9, -4

1970-01-01_01-09-17-125, ypr, 7.21, 10.98, -2.46, areal, -112, 185, 459, accel, 1449, -160, 8494, gyro, 0, -8, -4

1970-01-01_01-09-17-148, ypr, 7.33, 11.19, -2.41, areal, -55, 190, 505, accel, 1534, -147, 8535, gyro, 0, -8, -4

1970-01-01_01-09-17-175, ypr, 7.47, 11.53, -2.34, areal, 210, 195, 578, accel, 1847, -132, 8599, gyro, -1, -7, -3

1970-01-01_01-09-17-200, ypr, 7.55, 11.72, -2.32, areal, 356, 157, 579, accel, 2021, -168, 8595, gyro, -1, -5, -2

1970-01-01_01-09-17-226, ypr, 7.57, 11.92, -2.36, areal, 497, 85, 629, accel, 2190, -245, 8638, gyro, -2, -3, 1

1970-01-01_01-09-17-249, ypr, 7.53, 12.02, -2.40, areal, 576, 118, 595, accel, 2283, -217, 8601, gyro, -2, -2, 2

1970-01-01_01-09-17-276, ypr, 7.42, 12.09, -2.48, areal, 643, 156, 461, accel, 2359, -191, 8465, gyro, -2, 1, 3

1970-01-01_01-09-17-301, ypr, 7.34, 12.07, -2.51, areal, 720, 197, 412, accel, 2433, -154, 8416, gyro, -2, 3, 2

1970-01-01_01-09-17-325, ypr, 7.22, 11.96, -2.55, areal, 775, 240, 429, accel, 2473, -116, 8436, gyro, -2, 6, 3

1970-01-01_01-09-17-349, ypr, 7.12, 11.84, -2.56, areal, 743, 309, 366, accel, 2424, -49, 8377, gyro, -2, 6, 3

1970-01-01_01-09-17-374, ypr, 6.98, 11.63, -2.58, areal, 571, 338, 226, accel, 2223, -23, 8243, gyro, -2, 6, 3

1970-01-01_01-09-17-399, ypr, 6.89, 11.50, -2.58, areal, 490, 372, 192, accel, 2123, 11, 8213, gyro, -1, 5, 2

1970-01-01_01-09-17-421, ypr, 6.83, 11.37, -2.55, areal, 469, 419, 183, accel, 2085, 62, 8207, gyro, -1, 5, 2

1970-01-01_01-09-17-446, ypr, 6.75, 11.25, -2.51, areal, 558, 372, 174, accel, 2157, 20, 8201, gyro, -1, 4, 1

1970-01-01_01-09-17-468, ypr, 6.71, 11.19, -2.49, areal, 572, 307, 157, accel, 2162, -42, 8186, gyro, 0, 3, 1

1970-01-01_01-09-17-492, ypr, 6.70, 11.15, -2.43, areal, 524, 365, 50, accel, 2108, 25, 8081, gyro, 0, 3, 0

1970-01-01_01-09-17-516, ypr, 6.71, 11.12, -2.31, areal, 632, 516, -53, accel, 2212, 193, 7979, gyro, 0, 3, -1

1970-01-01_01-09-17-540, ypr, 6.74, 11.12, -2.25, areal, 735, 431, -54, accel, 2316, 116, 7978, gyro, 0, 3, -2

1970-01-01_01-09-17-565, ypr, 6.79, 11.13, -2.16, areal, 834, 389, -39, accel, 2416, 86, 7993, gyro, 0, 3, -2

1970-01-01_01-09-17-589, ypr, 6.83, 11.15, -2.06, areal, 949, 447, -13, accel, 2534, 159, 8019, gyro, 1, 3, -2

1970-01-01_01-09-17-614, ypr, 6.96, 11.19, -1.89, areal, 1211, 375, 135, accel, 2801, 111, 8168, gyro, 2, 4, -4

1970-01-01_01-09-17-638, ypr, 7.07, 11.20, -1.76, areal, 1372, 298, 160, accel, 2963, 52, 8193, gyro, 3, 5, -5

1970-01-01_01-09-17-660, ypr, 7.17, 11.20, -1.61, areal, 1499, 292, 137, accel, 3090, 67, 8171, gyro, 3, 6, -5

1970-01-01_01-09-17-686, ypr, 7.32, 11.14, -1.37, areal, 1492, 424, 114, accel, 3076, 232, 8150, gyro, 2, 7, -4

1970-01-01_01-09-17-708, ypr, 7.42, 11.05, -1.18, areal, 1297, 514, 116, accel, 2868, 349, 8155, gyro, 3, 7, -5

1970-01-01_01-09-17-732, ypr, 7.54, 10.94, -1.00, areal, 1059, 450, -30, accel, 2614, 310, 8012, gyro, 3, 7, -6

1970-01-01_01-09-17-756, ypr, 7.80, 10.76, -0.72, areal, 632, 440, -201, accel, 2162, 340, 7846, gyro, 4, 5, -8

1970-01-01_01-09-17-780, ypr, 7.99, 10.62, -0.46, areal, 289, 595, 41, accel, 1799, 531, 8093, gyro, 4, 3, -9

1970-01-01_01-09-17-805, ypr, 8.31, 10.46, -0.05, areal, -80, 293, 10, accel, 1407, 286, 8067, gyro, 7, 1, -10

1970-01-01_01-09-17-830, ypr, 8.57, 10.41, 0.22, areal, -244, 2, -116, accel, 1236, 33, 7940, gyro, 9, -1, -12

1970-01-01_01-09-17-855, ypr, 8.99, 10.44, 0.77, areal, -378, 14, 83, accel, 1105, 123, 8140, gyro, 12, -5, -13

1970-01-01_01-09-17-878, ypr, 9.29, 10.58, 1.21, areal, -127, -138, -184, accel, 1376, 32, 7867, gyro, 14, -6, -14

1970-01-01_01-09-17-901, ypr, 9.62, 10.81, 1.64, areal, 295, -262, -724, accel, 1833, -33, 7319, gyro, 13, -5, -15

1970-01-01_01-09-17-926, ypr, 10.08, 11.15, 2.22, areal, 891, -52, -572, accel, 2476, 258, 7460, gyro, 9, -2, -12

1970-01-01_01-09-17-950, ypr, 10.32, 11.25, 2.59, areal, 1024, 103, -86, accel, 2623, 466, 7941, gyro, 9, 0, -11

1970-01-01_01-09-17-972, ypr, 10.56, 11.32, 2.90, areal, 1053, -154, -258, accel, 2661, 252, 7764, gyro, 9, 2, -11

1970-01-01_01-09-17-996, ypr, 10.86, 11.24, 3.07, areal, 754, -1104, -548, accel, 2351, -675, 7476, gyro, 7, 6, -8

1970-01-01_01-09-18-019, ypr, 10.98, 11.01, 3.15, areal, 369, -1159, -369, accel, 1934, -718, 7660, gyro, 8, 9, -6

1970-01-01_01-09-18-042, ypr, 11.04, 10.68, 3.36, areal, 121, -741, -682, accel, 1640, -269, 7354, gyro, 8, 12, -4

1970-01-01_01-09-18-067, ypr, 11.00, 10.02, 3.56, areal, -318, -931, -1325, accel, 1107, -431, 6726, gyro, 5, 17, 0

1970-01-01_01-09-18-090, ypr, 10.90, 9.39, 3.51, areal, -745, -1231, -932, accel, 591, -737, 7135, gyro, 6, 18, 3

1970-01-01_01-09-18-119, ypr, 10.61, 8.46, 3.83, areal, -729, -142, -490, accel, 476, 399, 7595, gyro, 10, 18, 6

1970-01-01_01-09-18-142, ypr, 10.36, 8.01, 4.23, areal, 12, 523, -1165, accel, 1155, 1122, 6925, gyro, 7, 19, 6

1970-01-01_01-09-18-167, ypr, 10.12, 7.16, 4.38, areal, -474, -179, -1056, accel, 547, 442, 7048, gyro, 5, 19, 2

1970-01-01_01-09-18-191, ypr, 10.16, 6.53, 4.56, areal, -1335, -143, -1711, accel, -404, 503, 6402, gyro, 8, 10, -6

1970-01-01_01-09-18-217, ypr, 10.70, 6.12, 5.07, areal, -2120, 321, -2320, accel, -1247, 1041, 5794, gyro, 6, -10, -19

1970-01-01_01-09-18-242, ypr, 11.33, 6.33, 5.36, areal, -1924, 178, -1221, accel, -1021, 939, 6885, gyro, 5, -22, -26

1970-01-01_01-09-18-268, ypr, 12.74, 7.40, 5.81, areal, -1343, -142, -301, accel, -288, 679, 7781, gyro, 9, -41, -39

1970-01-01_01-09-18-292, ypr, 13.93, 8.49, 6.16, areal, -1347, -413, -279, accel, -138, 456, 7776, gyro, 5, -51, -43

1970-01-01_01-09-18-320, ypr, 15.85, 10.31, 6.53, areal, -1542, -943, 636, accel, -76, -27, 8644, gyro, 7, -57, -44

1970-01-01_01-09-18-346, ypr, 17.53, 12.06, 7.18, areal, -806, -602, 1374, accel, 905, 399, 9323, gyro, 9, -42, -34

1970-01-01_01-09-18-370, ypr, 18.30, 12.81, 7.48, areal, -580, -706, 835, accel, 1235, 334, 8756, gyro, 3, -25, -23

1970-01-01_01-09-18-395, ypr, 18.85, 13.09, 7.33, areal, -501, -919, 1805, accel, 1354, 99, 9720, gyro, -3, -3, -5

1970-01-01_01-09-18-421, ypr, 18.79, 12.83, 7.13, areal, -249, -893, 1674, accel, 1569, 98, 9600, gyro, -4, 13, 6

1970-01-01_01-09-18-448, ypr, 18.27, 11.92, 6.52, areal, -301, -1451, 922, accel, 1390, -541, 8886, gyro, -4, 25, 14

1970-01-01_01-09-18-472, ypr, 17.85, 11.16, 6.23, areal, -334, -913, 249, accel, 1251, -42, 8240, gyro, -4, 27, 12

1970-01-01_01-09-18-497, ypr, 17.50, 10.07, 6.07, areal, -1319, -580, -429, accel, 113, 273, 7592, gyro, -1, 14, 2

1970-01-01_01-09-18-522, ypr, 17.59, 9.62, 5.97, areal, -2327, -1311, -1274, accel, -958, -472, 6759, gyro, 5, -2, -8

1970-01-01_01-09-18-549, ypr, 18.33, 9.79, 6.30, areal, -2763, -1019, -2201, accel, -1371, -134, 5823, gyro, 10, -27, -25

1970-01-01_01-09-18-576, ypr, 19.68, 10.97, 7.04, areal, -2042, -760, -1953, accel, -484, 226, 6029, gyro, 10, -44, -36

1970-01-01_01-09-18-601, ypr, 20.74, 12.10, 7.49, areal, -1342, -1098, -1276, accel, 375, -55, 6666, gyro, 13, -49, -38

1970-01-01_01-09-18-627, ypr, 22.36, 14.08, 8.56, areal, -160, -188, -830, accel, 1832, 994, 7027, gyro, 14, -51, -39

1970-01-01_01-09-18-652, ypr, 23.52, 15.37, 9.37, areal, 462, 123, -654, accel, 2634, 1409, 7139, gyro, 12, -46, -41

1970-01-01_01-09-18-676, ypr, 25.16, 16.97, 10.25, areal, 879, -768, -750, accel, 3271, 625, 6960, gyro, 10, -33, -33

1970-01-01_01-09-18-699, ypr, 26.01, 17.70, 10.67, areal, 538, -1041, -1508, accel, 3029, 404, 6161, gyro, 7, -25, -27

1970-01-01_01-09-18-728, ypr, 27.13, 18.31, 11.08, areal, -1342, -1157, -2151, accel, 1231, 337, 5481, gyro, 1, -23, -25

1970-01-01_01-09-18-752, ypr, 27.98, 18.42, 11.27, areal, -2978, -345, 558, accel, -390, 1174, 8181, gyro, 0, -27, -27

1970-01-01_01-09-18-778, ypr, 29.10, 18.14, 12.16, areal, -3593, 219, 3989, accel, -1043, 1859, 11601, gyro, 10, -19, -27

1970-01-01_01-09-18-801, ypr, 29.84, 17.77, 12.17, areal, -3810, -2018, 4811, accel, -1311, -374, 12438, gyro, 12, -16, -24

1970-01-01_01-09-18-828, ypr, 30.46, 17.53, 12.17, areal, -3493, -2571, 2998, accel, -1026, -924, 10635, gyro, 11, -11, -12

1970-01-01_01-09-18-853, ypr, 30.71, 17.37, 12.39, areal, -3634, -1902, 1206, accel, -1189, -224, 8842, gyro, 5, -9, -10

1970-01-01_01-09-18-879, ypr, 31.31, 16.99, 12.31, areal, -4117, -2359, 250, accel, -1724, -689, 7906, gyro, 1, -11, -15

1970-01-01_01-09-18-905, ypr, 32.05, 16.76, 12.17, areal, -3700, -2425, 701, accel, -1338, -772, 8369, gyro, 3, -14, -17

1970-01-01_01-09-18-931, ypr, 32.60, 16.81, 12.18, areal, -2965, -2544, 972, accel, -596, -890, 8638, gyro, 7, -17, -20

1970-01-01_01-09-18-958, ypr, 33.56, 17.24, 12.62, areal, -2251, -1392, -143, accel, 176, 317, 7491, gyro, 11, -22, -24

1970-01-01_01-09-18-982, ypr, 34.41, 17.43, 13.45, areal, -3151, -501, -488, accel, -698, 1317, 7113, gyro, 11, -29, -33

1970-01-01_01-09-19-009, ypr, 36.18, 17.44, 14.12, areal, -4190, -2054, -165, accel, -1735, -148, 7414, gyro, 11, -32, -41

1970-01-01_01-09-19-036, ypr, 37.83, 17.73, 14.72, areal, -4600, -2119, 989, accel, -2106, -136, 8536, gyro, 11, -34, -28

1970-01-01_01-09-19-062, ypr, 38.59, 17.88, 14.92, areal, -4270, -2600, 1227, accel, -1756, -593, 8761, gyro, 10, -27, -22

1970-01-01_01-09-19-087, ypr, 39.31, 18.09, 15.09, areal, -3402, -2366, 642, accel, -859, -339, 8161, gyro, 7, -16, -13

1970-01-01_01-09-19-112, ypr, 39.72, 17.97, 15.26, areal, -3808, -1863, 278, accel, -1282, 188, 7796, gyro, 3, -13, -12

1970-01-01_01-09-19-137, ypr, 40.25, 17.72, 15.18, areal, -3909, -2161, 59, accel, -1416, -118, 7591, gyro, 1, -13, -10

1970-01-01_01-09-19-161, ypr, 40.67, 17.66, 15.11, areal, -3453, -2261, 321, accel, -968, -226, 7858, gyro, 3, -15, -15

1970-01-01_01-09-19-187, ypr, 41.56, 17.81, 15.25, areal, -2244, -2037, 351, accel, 262, 14, 7876, gyro, 6, -18, -21

1970-01-01_01-09-19-210, ypr, 42.33, 18.10, 15.57, areal, -1657, -1629, 95, accel, 888, 460, 7597, gyro, 6, -21, -27

1970-01-01_01-09-19-235, ypr, 43.72, 18.32, 16.12, areal, -2733, -1712, 332, accel, -159, 446, 7804, gyro, 8, -27, -29

1970-01-01_01-09-19-259, ypr, 44.64, 18.40, 16.41, areal, -3704, -2221, -87, accel, -1118, -25, 7369, gyro, 9, -29, -28

1970-01-01_01-09-19-286, ypr, 45.97, 18.45, 16.92, areal, -4799, -2233, -540, accel, -2207, 29, 6894, gyro, 8, -28, -26

1970-01-01_01-09-19-310, ypr, 46.73, 18.42, 17.23, areal, -4993, -2072, -556, accel, -2404, 230, 6867, gyro, 7, -23, -20

1970-01-01_01-09-19-336, ypr, 47.47, 18.20, 17.46, areal, -4931, -2108, -529, accel, -2373, 226, 6895, gyro, 5, -13, -12

1970-01-01_01-09-19-365, ypr, 47.82, 17.78, 17.37, areal, -4925, -2567, -644, accel, -2424, -239, 6801, gyro, 4, -9, -6

1970-01-01_01-09-19-390, ypr, 48.00, 17.54, 17.32, areal, -4746, -2577, -743, accel, -2278, -252, 6714, gyro, 6, -10, -7

1970-01-01_01-09-19-417, ypr, 48.44, 17.37, 17.54, areal, -4419, -2037, -1316, accel, -1973, 319, 6138, gyro, 6, -17, -11

1970-01-01_01-09-19-445, ypr, 49.23, 17.55, 17.91, areal, -3858, -1932, -1018, accel, -1388, 470, 6414, gyro, 9, -25, -18

1970-01-01_01-09-19-469, ypr, 49.92, 17.74, 18.21, areal, -3930, -2160, -885, accel, -1434, 278, 6526, gyro, 9, -27, -20

1970-01-01_01-09-19-497, ypr, 50.93, 18.02, 18.45, areal, -3966, -2903, -585, accel, -1431, -438, 6805, gyro, 10, -27, -18

1970-01-01_01-09-19-521, ypr, 51.53, 18.08, 18.63, areal, -4202, -2814, -54, accel, -1660, -326, 7325, gyro, 11, -24, -16

