ypr	0.01	0.06	0.29
areal	18	-41	2
ypr	0.01	0.06	0.29
areal	17	-43	0
ypr	0.01	0.06	0.29
areal	15	-41	-2
ypr	0.01	0.07	0.29
areal	16	-36	-3
ypr	0.01	0.07	0.28
areal	10	-39	-5
ypr	-0.00	0.07	0.28
areal	12	-42	-1
ypr	0.01	0.07	0.27
areal	12	-37	-9
ypr	0.01	0.07	0.27
areal	15	-36	-10
ypr	-0.00	0.07	0.27
areal	12	-37	-8
ypr	-0.00	0.07	0.27
areal	12	-32	-8
ypr	-0.00	0.08	0.27
areal	16	-32	-6
ypr	0.01	0.08	0.27
areal	16	-34	-4
ypr	0.01	0.08	0.26
areal	17	-36	-1
ypr	0.01	0.08	0.26
areal	20	-36	6
ypr	0.01	0.08	0.26
areal	18	-40	9
ypr	-0.00	0.08	0.25
areal	13	-40	1
ypr	-0.00	0.08	0.25
areal	13	-31	-1
ypr	-0.00	0.08	0.25
areal	11	-32	3
ypr	-0.00	0.08	0.24
areal	8	-32	3
ypr	-0.00	0.08	0.24
areal	2	-33	-6
ypr	-0.00	0.08	0.24
areal	5	-35	-7
ypr	-0.00	0.08	0.24
areal	7	-33	-6
ypr	-0.00	0.08	0.24
areal	8	-33	-1
ypr	-0.00	0.08	0.24
areal	6	-33	3
ypr	-0.00	0.08	0.23
areal	10	-34	2
ypr	-0.00	0.09	0.23
areal	8	-33	0
ypr	-0.00	0.09	0.23
areal	11	-36	-5
ypr	-0.00	0.09	0.22
areal	13	-34	-1
ypr	-0.00	0.09	0.22
areal	16	-34	2
ypr	-0.00	0.09	0.22
areal	13	-36	6
ypr	-0.00	0.09	0.22
areal	15	-34	4
ypr	-0.00	0.10	0.22
areal	13	-33	4
ypr	-0.00	0.10	0.22
areal	11	-30	8
ypr	-0.00	0.10	0.22
areal	12	-33	4
ypr	-0.00	0.10	0.21
areal	11	-28	-4
ypr	-0.00	0.10	0.21
areal	12	-28	-2
ypr	-0.00	0.10	0.21
areal	11	-29	12
ypr	-0.00	0.10	0.20
areal	12	-30	9
ypr	-0.00	0.10	0.20
areal	5	-27	0
ypr	-0.00	0.10	0.20
areal	13	-26	-2
ypr	-0.00	0.10	0.20
areal	14	-23	-3
ypr	-0.00	0.10	0.20
areal	11	-30	0
ypr	-0.00	0.10	0.20
areal	11	-26	0
ypr	-0.00	0.10	0.20
areal	1	-27	6
ypr	-0.00	0.10	0.20
areal	2	-21	0
ypr	-0.00	0.10	0.19
areal	8	-25	6
ypr	-0.00	0.10	0.19
areal	6	-26	5
ypr	-0.00	0.10	0.19
areal	-1	-28	3
ypr	-0.00	0.10	0.18
areal	3	-26	5
ypr	-0.00	0.10	0.18
areal	5	-26	5
ypr	-0.00	0.10	0.18
areal	7	-31	6
ypr	-0.00	0.10	0.18
areal	10	-26	0
ypr	-0.00	0.11	0.17
areal	13	-28	1
ypr	-0.00	0.11	0.17
areal	10	-22	3
ypr	-0.00	0.11	0.17
areal	11	-22	0
ypr	-0.00	0.11	0.17
areal	9	-26	-4
ypr	-0.00	0.11	0.17
areal	14	-23	-4
ypr	-0.00	0.12	0.17
areal	11	-25	0
ypr	-0.00	0.11	0.17
areal	6	-26	0
ypr	-0.00	0.11	0.17
areal	8	-25	3
ypr	-0.00	0.11	0.16
areal	1	-23	4
ypr	-0.00	0.11	0.16
areal	0	-23	6
ypr	-0.00	0.11	0.16
areal	5	-26	4
ypr	-0.00	0.12	0.16
areal	7	-26	0
ypr	-0.00	0.12	0.16
areal	9	-24	-1
ypr	-0.00	0.12	0.16
areal	8	-19	-4
ypr	-0.00	0.12	0.16
areal	15	-18	-6
ypr	-0.00	0.12	0.15
areal	10	-14	-1
ypr	-0.00	0.12	0.15
areal	9	-16	-2
ypr	-0.00	0.13	0.15
areal	8	-21	8
ypr	-0.00	0.13	0.15
areal	9	-22	4
ypr	-0.00	0.13	0.15
areal	6	-17	2
ypr	-0.00	0.13	0.15
areal	0	-19	3
ypr	-0.00	0.13	0.15
areal	5	-19	4
ypr	-0.00	0.13	0.15
areal	7	-20	2
ypr	-0.00	0.13	0.15
areal	8	-23	5
ypr	-0.00	0.13	0.15
areal	10	-22	4
ypr	-0.00	0.13	0.14
areal	9	-22	12
ypr	-0.00	0.13	0.14
areal	11	-21	9
ypr	-0.00	0.13	0.14
areal	12	-22	9
ypr	-0.00	0.13	0.14
areal	10	-21	1
ypr	-0.00	0.13	0.14
areal	14	-16	0
ypr	-0.00	0.13	0.14
areal	12	-15	2
ypr	-0.00	0.13	0.14
areal	7	-12	4
ypr	-0.00	0.13	0.14
areal	6	-17	9
ypr	-0.00	0.14	0.14
areal	5	-17	4
ypr	-0.00	0.14	0.13
areal	3	-20	8
ypr	-0.00	0.14	0.13
areal	2	-20	12
ypr	-0.00	0.13	0.13
areal	0	-19	13
ypr	-0.00	0.13	0.13
areal	0	-18	13
ypr	-0.00	0.13	0.13
areal	3	-17	6
ypr	-0.00	0.13	0.13
areal	4	-15	0
ypr	-0.00	0.14	0.13
areal	3	-17	0
