2020-11-20_16-19-41.00, ypr, 0.15, -0.08, 0.12, areal, 16, -13, -24
2020-11-20_16-19-41.12, ypr, 0.15, -0.08, 0.12, areal, 13, -11, -25
2020-11-20_16-19-41.24, ypr, 0.15, -0.08, 0.12, areal, 21, -15, -29
2020-11-20_16-19-41.37, ypr, 0.15, -0.08, 0.12, areal, 19, -16, -30
2020-11-20_16-19-41.49, ypr, 0.15, -0.08, 0.12, areal, 17, -18, -25
2020-11-20_16-19-41.61, ypr, 0.15, -0.08, 0.12, areal, 10, -19, -31
2020-11-20_16-19-41.73, ypr, 0.15, -0.08, 0.11, areal, 11, -14, -19
2020-11-20_16-19-41.85, ypr, 0.15, -0.08, 0.11, areal, 13, -19, -22
2020-11-20_16-19-41.98, ypr, 0.15, -0.08, 0.11, areal, 13, -20, -20
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 10, -18, -21
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 9, -14, -26
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 6, -17, -28
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 8, -15, -23
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 9, -14, -15
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 11, -11, -14
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 13, -11, -13
2020-11-20_16-19-41.9999, ypr, 0.15, -0.08, 0.11, areal, 11, -11, -15
2020-11-20_16-19-41.9999, ypr, 0.16, -0.09, 0.11, areal, 10, -11, -20
2020-11-20_16-19-41.9999, ypr, 0.16, -0.08, 0.11, areal, 10, -10, -25
2020-11-20_16-19-41.9999, ypr, 0.16, -0.09, 0.11, areal, 14, -15, -18
2020-11-20_16-19-41.9999, ypr, 0.16, -0.09, 0.11, areal, 11, -17, -20
