2020-11-20_16-29-04.00, ypr, 0.21, 0.01, 0.13, areal, -11, -43, -8
2020-11-20_16-29-04.16, ypr, 0.27, -0.01, 0.08, areal, 10, -31, -3
2020-11-20_16-29-04.31, ypr, 0.27, -0.01, 0.07, areal, -7, -44, -2
2020-11-20_16-29-04.47, ypr, 0.27, -0.02, 0.06, areal, -11, -50, -12
2020-11-20_16-29-04.62, ypr, 0.27, -0.02, 0.05, areal, 2, -45, -14
2020-11-20_16-29-04.78, ypr, 0.27, -0.02, 0.04, areal, 5, -35, -18
2020-11-20_16-29-04.94, ypr, 0.26, -0.02, 0.03, areal, 5, -32, -17
2020-11-20_16-29-04.9999, ypr, 0.26, -0.02, 0.03, areal, 2, -30, -8
2020-11-20_16-29-04.9999, ypr, 0.26, -0.02, 0.03, areal, 5, -34, -11
2020-11-20_16-29-04.9999, ypr, 0.26, -0.02, 0.03, areal, -1, -43, -22
2020-11-20_16-29-05.00, ypr, 0.26, -0.02, 0.03, areal, -3, -43, -17
2020-11-20_16-29-05.13, ypr, 0.26, -0.02, 0.03, areal, -2, -41, -13
2020-11-20_16-29-05.26, ypr, 0.26, -0.03, 0.03, areal, 2, -41, -9
2020-11-20_16-29-05.38, ypr, 0.26, -0.03, 0.02, areal, 2, -36, -11
2020-11-20_16-29-05.51, ypr, 0.26, -0.02, 0.02, areal, 0, -38, -12
2020-11-20_16-29-05.64, ypr, 0.27, -0.02, 0.01, areal, 6, -30, -9
2020-11-20_16-29-05.77, ypr, 0.27, -0.01, 0.01, areal, 6, -26, -14
2020-11-20_16-29-05.89, ypr, 0.28, -0.01, 0.01, areal, 4, -24, -12
2020-11-20_16-29-05.9999, ypr, 0.29, -0.01, 0.01, areal, 7, -19, -7
2020-11-20_16-29-05.9999, ypr, 0.30, -0.01, 0.01, areal, 0, -16, -3
2020-11-20_16-29-05.9999, ypr, 0.30, -0.02, -0.00, areal, -3, -18, -2
2020-11-20_16-29-05.9999, ypr, 0.30, -0.03, -0.00, areal, 0, -31, -3
2020-11-20_16-29-05.9999, ypr, 0.30, -0.03, -0.01, areal, 3, -37, -10
2020-11-20_16-29-05.9999, ypr, 0.30, -0.02, -0.01, areal, 8, -37, -4
2020-11-20_16-29-05.9999, ypr, 0.30, -0.01, -0.01, areal, 9, -35, -1
2020-11-20_16-29-05.9999, ypr, 0.31, 0.00, -0.01, areal, 0, -27, -1
2020-11-20_16-29-05.9999, ypr, 0.31, 0.01, -0.01, areal, -3, -26, -2
2020-11-20_16-29-05.9999, ypr, 0.31, 0.01, -0.02, areal, -9, -26, -14
2020-11-20_16-29-05.9999, ypr, 0.31, 0.00, -0.03, areal, -12, -30, -23
2020-11-20_16-29-05.9999, ypr, 0.31, 0.00, -0.03, areal, -9, -29, -22
2020-11-20_16-29-05.9999, ypr, 0.31, -0.01, -0.03, areal, -14, -28, -13
2020-11-20_16-29-05.9999, ypr, 0.31, -0.01, -0.04, areal, -11, -33, -14
2020-11-20_16-29-05.9999, ypr, 0.32, -0.01, -0.05, areal, -5, -27, -20
2020-11-20_16-29-05.9999, ypr, 0.32, -0.01, -0.05, areal, -5, -26, -14
2020-11-20_16-29-05.9999, ypr, 0.32, -0.01, -0.06, areal, -3, -20, -16
2020-11-20_16-29-05.9999, ypr, 0.33, -0.01, -0.06, areal, -9, -17, -14
2020-11-20_16-29-05.9999, ypr, 0.33, -0.01, -0.06, areal, -6, -24, -11
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.07, areal, 0, -19, -15
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.07, areal, 2, -24, -11
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.08, areal, 0, -19, -12
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.08, areal, -1, -17, -8
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.08, areal, -4, -18, -11
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.08, areal, -11, -19, -11
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.08, areal, -5, -21, -13
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.09, areal, 4, -18, -8
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.09, areal, 6, -13, -7
2020-11-20_16-29-05.9999, ypr, 0.34, -0.01, -0.10, areal, 2, -11, -11
2020-11-20_16-29-05.9999, ypr, 0.35, -0.01, -0.10, areal, -5, -12, -9
2020-11-20_16-29-05.9999, ypr, 0.35, -0.01, -0.10, areal, -1, -16, -3
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.10, areal, -6, -12, -10
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.10, areal, -3, -7, -7
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.11, areal, -1, -12, -9
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.11, areal, 0, -13, -12
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.12, areal, -3, -11, -12
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.12, areal, -5, -13, -7
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.13, areal, -16, -19, -6
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.13, areal, -13, -20, -4
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.13, areal, -11, -18, -10
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.13, areal, -10, -15, -10
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.14, areal, -9, -12, -17
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.14, areal, -12, -11, -16
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.15, areal, -5, -14, -12
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.15, areal, -8, -14, -13
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.15, areal, -10, -12, -14
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.15, areal, -7, -15, 0
2020-11-20_16-29-05.9999, ypr, 0.36, -0.01, -0.15, areal, -9, -15, -2
2020-11-20_16-29-05.9999, ypr, 0.36, 0.00, -0.16, areal, -1, -20, -6
2020-11-20_16-29-05.9999, ypr, 0.36, 0.00, -0.17, areal, -1, -14, 0
2020-11-20_16-29-06.00, ypr, 0.36, 0.00, -0.17, areal, -6, -11, -3
2020-11-20_16-29-06.04, ypr, 0.36, 0.00, -0.17, areal, -7, -11, -1
2020-11-20_16-29-06.07, ypr, 0.36, 0.00, -0.17, areal, -3, -7, -1
2020-11-20_16-29-06.11, ypr, 0.36, 0.00, -0.17, areal, -3, 0, -6
2020-11-20_16-29-06.14, ypr, 0.36, -0.01, -0.17, areal, -7, 1, -8
2020-11-20_16-29-06.18, ypr, 0.36, -0.01, -0.17, areal, -6, -1, -5
2020-11-20_16-29-06.22, ypr, 0.36, -0.01, -0.18, areal, -8, -3, -7
2020-11-20_16-29-06.25, ypr, 0.36, -0.02, -0.18, areal, -5, -8, -5
2020-11-20_16-29-06.29, ypr, 0.37, -0.02, -0.19, areal, -4, -3, -12
2020-11-20_16-29-06.32, ypr, 0.37, -0.02, -0.19, areal, -6, 0, -15
2020-11-20_16-29-06.36, ypr, 0.37, -0.02, -0.19, areal, -12, -6, -9
2020-11-20_16-29-06.39, ypr, 0.37, -0.01, -0.20, areal, -5, -3, -8
2020-11-20_16-29-06.43, ypr, 0.37, -0.01, -0.20, areal, -3, -2, -7
2020-11-20_16-29-06.47, ypr, 0.38, -0.01, -0.20, areal, -3, -8, -14
2020-11-20_16-29-06.50, ypr, 0.38, -0.01, -0.20, areal, 0, -1, -13
2020-11-20_16-29-06.54, ypr, 0.38, 0.00, -0.20, areal, 1, 0, -11
2020-11-20_16-29-06.57, ypr, 0.38, 0.00, -0.20, areal, 4, 0, -10
2020-11-20_16-29-06.61, ypr, 0.37, 0.00, -0.20, areal, 0, -2, -9
2020-11-20_16-29-06.65, ypr, 0.37, 0.00, -0.20, areal, -6, -8, -9
2020-11-20_16-29-06.68, ypr, 0.37, 0.00, -0.21, areal, -5, -6, 0
2020-11-20_16-29-06.72, ypr, 0.38, -0.01, -0.21, areal, -7, -1, -1
2020-11-20_16-29-06.75, ypr, 0.38, -0.01, -0.22, areal, -11, -1, -3
2020-11-20_16-29-06.79, ypr, 0.38, -0.01, -0.22, areal, -10, 0, -9
2020-11-20_16-29-06.82, ypr, 0.38, -0.01, -0.22, areal, -6, 2, -7
2020-11-20_16-29-06.86, ypr, 0.38, -0.01, -0.22, areal, -2, 0, -7
2020-11-20_16-29-06.90, ypr, 0.38, -0.01, -0.22, areal, -7, 4, 1
2020-11-20_16-29-06.93, ypr, 0.38, 0.00, -0.22, areal, -8, 3, 2
2020-11-20_16-29-06.97, ypr, 0.37, 0.00, -0.22, areal, -7, 5, -2
2020-11-20_16-29-06.9999, ypr, 0.37, 0.00, -0.22, areal, -8, 3, -10
2020-11-20_16-29-06.9999, ypr, 0.37, 0.00, -0.23, areal, -1, -1, -4
2020-11-20_16-29-06.9999, ypr, 0.37, 0.01, -0.23, areal, 0, -4, -7
2020-11-20_16-29-06.9999, ypr, 0.37, 0.01, -0.23, areal, -4, -8, -3
2020-11-20_16-29-06.9999, ypr, 0.37, 0.01, -0.24, areal, -8, -5, 2
2020-11-20_16-29-06.9999, ypr, 0.38, 0.00, -0.24, areal, -7, 0, -6
2020-11-20_16-29-06.9999, ypr, 0.38, 0.00, -0.24, areal, -9, 0, -3
2020-11-20_16-29-06.9999, ypr, 0.38, 0.00, -0.24, areal, -9, 5, -4
2020-11-20_16-29-06.9999, ypr, 0.38, 0.00, -0.24, areal, -9, 5, -10
