2020-11-20_16-30-53.00, ypr, 1.07, 2.03, 10.76, areal, -332, -1557, 126
2020-11-20_16-30-53.02, ypr, 1.05, 2.03, 10.68, areal, -317, -1536, 122
2020-11-20_16-30-54.00, ypr, 1.04, 2.02, 10.52, areal, -316, -1496, 128
2020-11-20_16-30-54.04, ypr, 1.02, 2.01, 10.36, areal, -329, -1485, 124
2020-11-20_16-30-54.08, ypr, 1.04, 2.00, 10.29, areal, -329, -1509, 121
2020-11-20_16-30-54.11, ypr, 1.21, 1.93, 10.16, areal, -476, -1605, 105
2020-11-20_16-30-54.15, ypr, 1.55, 1.87, 10.03, areal, -471, -1697, 86
2020-11-20_16-30-54.19, ypr, 1.86, 1.74, 9.88, areal, -581, -1775, 86
2020-11-20_16-30-54.23, ypr, 2.03, 1.68, 9.78, areal, -441, -1657, 85
2020-11-20_16-30-54.26, ypr, 2.38, 1.67, 9.88, areal, -227, -1377, 89
2020-11-20_16-30-54.30, ypr, 2.70, 1.70, 9.82, areal, -103, -1219, 136
2020-11-20_16-30-54.34, ypr, 2.82, 1.66, 9.73, areal, -204, -1301, 132
2020-11-20_16-30-54.38, ypr, 2.88, 1.63, 9.68, areal, -417, -1426, 112
2020-11-20_16-30-54.41, ypr, 3.20, 1.59, 9.64, areal, -344, -1441, 105
2020-11-20_16-30-54.45, ypr, 3.56, 1.41, 9.46, areal, -232, -1317, 117
2020-11-20_16-30-54.49, ypr, 3.73, 1.38, 9.34, areal, -112, -1307, 115
2020-11-20_16-30-54.53, ypr, 3.78, 1.37, 9.28, areal, -110, -1308, 107
2020-11-20_16-30-54.56, ypr, 3.85, 1.34, 9.14, areal, -165, -1335, 100
2020-11-20_16-30-54.60, ypr, 3.89, 1.31, 8.92, areal, -177, -1331, 95
2020-11-20_16-30-54.64, ypr, 3.89, 1.30, 8.80, areal, -152, -1286, 94
2020-11-20_16-30-54.68, ypr, 3.81, 1.29, 8.56, areal, -194, -1277, 77
2020-11-20_16-30-54.71, ypr, 3.78, 1.27, 8.39, areal, -216, -1255, 69
2020-11-20_16-30-54.75, ypr, 3.77, 1.27, 8.32, areal, -223, -1236, 65
2020-11-20_16-30-54.79, ypr, 3.74, 1.27, 8.18, areal, -230, -1223, 65
2020-11-20_16-30-54.83, ypr, 3.71, 1.27, 8.04, areal, -241, -1207, 55
2020-11-20_16-30-54.86, ypr, 3.71, 1.26, 7.99, areal, -235, -1192, 61
2020-11-20_16-30-54.90, ypr, 3.68, 1.25, 7.87, areal, -229, -1175, 67
2020-11-20_16-30-54.94, ypr, 3.66, 1.24, 7.77, areal, -219, -1161, 69
2020-11-20_16-30-54.98, ypr, 3.62, 1.22, 7.68, areal, -243, -1149, 70
2020-11-20_16-30-54.9999, ypr, 3.61, 1.20, 7.59, areal, -244, -1145, 62
2020-11-20_16-30-54.9999, ypr, 3.61, 1.19, 7.55, areal, -242, -1147, 58
2020-11-20_16-30-54.9999, ypr, 3.60, 1.18, 7.48, areal, -227, -1141, 52
2020-11-20_16-30-54.9999, ypr, 3.56, 1.17, 7.42, areal, -165, -1087, 58
2020-11-20_16-30-54.9999, ypr, 3.50, 1.19, 7.42, areal, -134, -1064, 65
2020-11-20_16-30-54.9999, ypr, 3.39, 1.15, 7.33, areal, -172, -1077, 58
2020-11-20_16-30-54.9999, ypr, 3.21, 1.13, 7.23, areal, -205, -1065, 63
2020-11-20_16-30-54.9999, ypr, 3.08, 1.12, 7.17, areal, -149, -1040, 47
2020-11-20_16-30-54.9999, ypr, 2.71, 0.75, 6.95, areal, 288, -947, -231
2020-11-20_16-30-54.9999, ypr, 2.02, -0.27, 6.67, areal, 528, -952, -339
2020-11-20_16-30-54.9999, ypr, 1.62, -0.75, 6.60, areal, 574, -1006, -254
2020-11-20_16-30-54.9999, ypr, 1.01, -1.56, 6.44, areal, 299, -1132, 186
2020-11-20_16-30-54.9999, ypr, 0.86, -2.04, 6.16, areal, 412, -1245, 247
2020-11-20_16-30-54.9999, ypr, 0.96, -2.18, 5.98, areal, 799, -1409, 142
2020-11-20_16-30-54.9999, ypr, 0.96, -2.59, 5.88, areal, 807, -1295, 190
2020-11-20_16-30-54.9999, ypr, 0.83, -2.59, 6.01, areal, 405, -1147, 520
2020-11-20_16-30-54.9999, ypr, 0.87, -2.43, 6.02, areal, 292, -984, 614
2020-11-20_16-30-54.9999, ypr, 1.08, -1.94, 5.83, areal, 339, -748, 529
2020-11-20_16-30-54.9999, ypr, 1.31, -1.38, 5.49, areal, 565, -706, 233
2020-11-20_16-30-54.9999, ypr, 1.39, -0.93, 5.26, areal, 665, -710, -97
2020-11-20_16-30-54.9999, ypr, 1.38, -0.52, 5.21, areal, 502, -698, -51
2020-11-20_16-30-54.9999, ypr, 1.37, -0.30, 5.22, areal, 414, -724, -52
2020-11-20_16-30-54.9999, ypr, 1.34, 0.08, 5.28, areal, 280, -758, -30
2020-11-20_16-30-54.9999, ypr, 1.30, 0.45, 5.33, areal, 182, -797, 18
2020-11-20_16-30-54.9999, ypr, 1.26, 0.83, 5.34, areal, 83, -857, 69
2020-11-20_16-30-54.9999, ypr, 1.24, 1.07, 5.37, areal, 29, -881, 92
2020-11-20_16-30-54.9999, ypr, 1.20, 1.67, 5.46, areal, -122, -890, 67
2020-11-20_16-30-54.9999, ypr, 1.18, 2.06, 5.48, areal, -257, -890, -120
2020-11-20_16-30-54.9999, ypr, 1.17, 2.06, 5.39, areal, -307, -901, -57
2020-11-20_16-30-54.9999, ypr, 1.17, 2.06, 5.34, areal, -311, -898, -33
2020-11-20_16-30-54.9999, ypr, 1.18, 2.03, 5.23, areal, -325, -883, -5
2020-11-20_16-30-55.00, ypr, 1.18, 1.98, 5.11, areal, -335, -870, -1
2020-11-20_16-30-55.03, ypr, 1.19, 1.93, 4.98, areal, -334, -865, 2
2020-11-20_16-30-55.05, ypr, 1.19, 1.88, 4.85, areal, -332, -865, 12
2020-11-20_16-30-55.08, ypr, 1.20, 1.86, 4.78, areal, -332, -860, 15
2020-11-20_16-30-55.10, ypr, 1.21, 1.81, 4.66, areal, -321, -834, 11
2020-11-20_16-30-55.13, ypr, 1.21, 1.77, 4.55, areal, -308, -811, 10
2020-11-20_16-30-55.15, ypr, 1.23, 1.70, 4.41, areal, -306, -782, 23
2020-11-20_16-30-55.18, ypr, 1.24, 1.66, 4.34, areal, -302, -772, 19
2020-11-20_16-30-55.20, ypr, 1.26, 1.56, 4.17, areal, -288, -719, -61
2020-11-20_16-30-55.23, ypr, 1.27, 1.21, 3.91, areal, -217, -653, -70
2020-11-20_16-30-55.26, ypr, 1.28, 0.80, 3.63, areal, -121, -584, -15
2020-11-20_16-30-55.28, ypr, 1.27, 0.44, 3.36, areal, -9, -552, 12
2020-11-20_16-30-55.31, ypr, 1.27, 0.28, 3.25, areal, 42, -545, 40
2020-11-20_16-30-55.33, ypr, 1.27, 0.16, 3.13, areal, 98, -505, 90
2020-11-20_16-30-55.36, ypr, 1.27, 0.24, 3.12, areal, 99, -487, 104
2020-11-20_16-30-55.38, ypr, 1.26, 0.33, 3.12, areal, 88, -490, 114
2020-11-20_16-30-55.41, ypr, 1.25, 0.60, 3.21, areal, 34, -495, 90
2020-11-20_16-30-55.43, ypr, 1.25, 0.87, 3.27, areal, -28, -511, 63
2020-11-20_16-30-55.46, ypr, 1.26, 1.00, 3.29, areal, -61, -522, 59
2020-11-20_16-30-55.48, ypr, 1.24, 1.31, 3.35, areal, -142, -548, 38
2020-11-20_16-30-55.51, ypr, 1.24, 1.44, 3.35, areal, -196, -548, -69
2020-11-20_16-30-55.54, ypr, 1.25, 1.42, 3.29, areal, -210, -548, -49
2020-11-20_16-30-55.56, ypr, 1.26, 1.42, 3.24, areal, -227, -544, -23
2020-11-20_16-30-55.59, ypr, 1.26, 1.41, 3.21, areal, -228, -538, -18
