2020-11-27_14-29-14-281, ypr, 7.33, -1.64, 0.39, areal, 74, 42, -218
2020-11-27_14-29-14-297, ypr, 7.33, -1.62, 0.39, areal, 68, 54, -223
2020-11-27_14-29-14-314, ypr, 7.32, -1.61, 0.39, areal, -39, 0, -203
2020-11-27_14-29-14-329, ypr, 7.32, -1.60, 0.39, areal, -84, -22, -201
2020-11-27_14-29-14-349, ypr, 7.32, -1.59, 0.40, areal, -128, -19, -236
2020-11-27_14-29-14-367, ypr, 7.31, -1.55, 0.40, areal, -78, -17, -200
2020-11-27_14-29-14-384, ypr, 7.29, -1.50, 0.41, areal, 41, 15, -195
2020-11-27_14-29-14-399, ypr, 7.29, -1.48, 0.41, areal, 130, 13, -159
2020-11-27_14-29-14-416, ypr, 7.27, -1.45, 0.41, areal, 219, 42, -155
2020-11-27_14-29-14-436, ypr, 7.22, -1.45, 0.41, areal, 236, 13, -153
2020-11-27_14-29-14-451, ypr, 7.20, -1.45, 0.40, areal, 226, 11, -173
2020-11-27_14-29-14-467, ypr, 7.15, -1.48, 0.39, areal, 197, 22, -169
2020-11-27_14-29-14-486, ypr, 7.13, -1.50, 0.38, areal, 213, 46, -170
2020-11-27_14-29-14-501, ypr, 7.11, -1.51, 0.38, areal, 248, 54, -171
2020-11-27_14-29-14-517, ypr, 7.09, -1.52, 0.38, areal, 335, 48, -156
2020-11-27_14-29-14-534, ypr, 7.06, -1.53, 0.37, areal, 374, 43, -143
2020-11-27_14-29-14-550, ypr, 7.06, -1.54, 0.37, areal, 360, 35, -148
2020-11-27_14-29-14-567, ypr, 7.04, -1.58, 0.36, areal, 262, 34, -178
2020-11-27_14-29-14-584, ypr, 7.04, -1.65, 0.35, areal, 144, 35, -181
2020-11-27_14-29-14-598, ypr, 7.04, -1.68, 0.35, areal, 107, 35, -181
2020-11-27_14-29-14-615, ypr, 7.04, -1.72, 0.34, areal, 77, 13, -180
2020-11-27_14-29-14-630, ypr, 7.04, -1.75, 0.34, areal, 75, 0, -181
2020-11-27_14-29-14-647, ypr, 7.03, -1.80, 0.32, areal, 79, -10, -184
2020-11-27_14-29-14-664, ypr, 7.02, -1.87, 0.31, areal, 60, -8, -163
2020-11-27_14-29-14-679, ypr, 7.02, -1.90, 0.30, areal, 30, -3, -164
2020-11-27_14-29-14-696, ypr, 6.99, -1.99, 0.29, areal, -17, -6, -177
2020-11-27_14-29-14-714, ypr, 6.98, -2.06, 0.28, areal, -38, -15, -196
2020-11-27_14-29-14-729, ypr, 6.97, -2.10, 0.27, areal, -36, -21, -191
2020-11-27_14-29-14-751, ypr, 6.94, -2.17, 0.26, areal, -25, -21, -183
2020-11-27_14-29-14-768, ypr, 6.91, -2.24, 0.24, areal, -20, -26, -162
2020-11-27_14-29-14-786, ypr, 6.86, -2.33, 0.23, areal, -29, -27, -162
2020-11-27_14-29-14-804, ypr, 6.81, -2.42, 0.21, areal, -71, -24, -160
2020-11-27_14-29-14-820, ypr, 6.77, -2.48, 0.20, areal, -93, -19, -175
2020-11-27_14-29-14-837, ypr, 6.71, -2.59, 0.18, areal, -168, -17, -204
2020-11-27_14-29-14-855, ypr, 6.64, -2.69, 0.15, areal, -192, -31, -202
2020-11-27_14-29-14-870, ypr, 6.61, -2.72, 0.14, areal, -180, -34, -183
2020-11-27_14-29-14-888, ypr, 6.56, -2.76, 0.12, areal, -112, -26, -173
2020-11-27_14-29-14-906, ypr, 6.51, -2.77, 0.12, areal, -47, -21, -182
2020-11-27_14-29-14-923, ypr, 6.47, -2.77, 0.11, areal, -27, -3, -198
2020-11-27_14-29-14-939, ypr, 6.46, -2.77, 0.11, areal, -26, 1, -195
2020-11-27_14-29-14-956, ypr, 6.42, -2.74, 0.11, areal, -17, 1, -185
2020-11-27_14-29-14-971, ypr, 6.42, -2.72, 0.11, areal, -1, 3, -187
2020-11-27_14-29-14-988, ypr, 6.40, -2.65, 0.12, areal, 75, 2, -171
2020-11-27_14-29-15-005, ypr, 6.39, -2.56, 0.12, areal, 160, 27, -146
2020-11-27_14-29-15-020, ypr, 6.38, -2.52, 0.13, areal, 203, 30, -131
2020-11-27_14-29-15-037, ypr, 6.36, -2.44, 0.14, areal, 258, 26, -113
2020-11-27_14-29-15-057, ypr, 6.34, -2.38, 0.14, areal, 294, 23, -118
2020-11-27_14-29-15-074, ypr, 6.30, -2.33, 0.15, areal, 318, 43, -129
2020-11-27_14-29-15-089, ypr, 6.28, -2.31, 0.14, areal, 330, 54, -122
2020-11-27_14-29-15-106, ypr, 6.24, -2.28, 0.14, areal, 364, 67, -109
2020-11-27_14-29-15-121, ypr, 6.22, -2.26, 0.14, areal, 383, 61, -109
2020-11-27_14-29-15-138, ypr, 6.18, -2.22, 0.14, areal, 414, 46, -103
2020-11-27_14-29-15-154, ypr, 6.15, -2.19, 0.13, areal, 435, 40, -111
2020-11-27_14-29-15-169, ypr, 6.13, -2.18, 0.14, areal, 436, 43, -112
2020-11-27_14-29-15-186, ypr, 6.11, -2.16, 0.14, areal, 419, 65, -109
2020-11-27_14-29-15-201, ypr, 6.10, -2.15, 0.14, areal, 402, 65, -102
2020-11-27_14-29-15-217, ypr, 6.07, -2.14, 0.13, areal, 371, 45, -118
2020-11-27_14-29-15-234, ypr, 6.06, -2.12, 0.13, areal, 363, 28, -124
2020-11-27_14-29-15-249, ypr, 6.05, -2.12, 0.13, areal, 358, 28, -134
2020-11-27_14-29-15-266, ypr, 6.05, -2.09, 0.13, areal, 349, 54, -139
2020-11-27_14-29-15-280, ypr, 6.05, -2.08, 0.13, areal, 343, 61, -134
2020-11-27_14-29-15-297, ypr, 6.06, -2.05, 0.14, areal, 308, 67, -158
2020-11-27_14-29-15-314, ypr, 6.09, -2.03, 0.14, areal, 247, 48, -183
2020-11-27_14-29-15-329, ypr, 6.10, -2.02, 0.14, areal, 213, 41, -196
