2020-11-27_14-34-21-941, ypr, 157.07, 5.73, -0.24, areal, -34, -69, 350
2020-11-27_14-34-21-959, ypr, 157.13, 5.72, -0.22, areal, -72, -82, 393
2020-11-27_14-34-21-977, ypr, 157.25, 5.75, -0.15, areal, 28, -102, 429
2020-11-27_14-34-21-996, ypr, 157.35, 5.79, -0.09, areal, 220, -90, 414
2020-11-27_14-34-22-014, ypr, 157.43, 5.74, -0.04, areal, 144, -70, 394
2020-11-27_14-34-22-031, ypr, 157.46, 5.69, -0.03, areal, 88, -75, 405
2020-11-27_14-34-22-049, ypr, 157.52, 5.58, 0.00, areal, 64, -103, 454
2020-11-27_14-34-22-067, ypr, 157.58, 5.47, 0.03, areal, 64, -138, 424
2020-11-27_14-34-22-085, ypr, 157.65, 5.37, 0.06, areal, 54, -148, 400
2020-11-27_14-34-22-103, ypr, 157.72, 5.27, 0.11, areal, 61, -121, 424
2020-11-27_14-34-22-118, ypr, 157.76, 5.22, 0.13, areal, 54, -113, 434
2020-11-27_14-34-22-136, ypr, 157.84, 5.11, 0.18, areal, 4, -115, 395
2020-11-27_14-34-22-154, ypr, 157.93, 5.00, 0.22, areal, -80, -149, 355
2020-11-27_14-34-22-174, ypr, 158.03, 4.90, 0.26, areal, -158, -174, 369
2020-11-27_14-34-22-189, ypr, 158.08, 4.86, 0.29, areal, -177, -171, 369
2020-11-27_14-34-22-207, ypr, 158.20, 4.78, 0.35, areal, -197, -143, 340
2020-11-27_14-34-22-226, ypr, 158.30, 4.70, 0.41, areal, -239, -136, 327
2020-11-27_14-34-22-244, ypr, 158.41, 4.60, 0.45, areal, -293, -159, 338
2020-11-27_14-34-22-260, ypr, 158.46, 4.55, 0.47, areal, -321, -173, 329
2020-11-27_14-34-22-278, ypr, 158.55, 4.44, 0.51, areal, -391, -184, 272
2020-11-27_14-34-22-296, ypr, 158.64, 4.32, 0.55, areal, -451, -164, 255
2020-11-27_14-34-22-314, ypr, 158.72, 4.20, 0.59, areal, -498, -158, 267
2020-11-27_14-34-22-329, ypr, 158.75, 4.15, 0.60, areal, -509, -162, 257
2020-11-27_14-34-22-347, ypr, 158.82, 4.04, 0.62, areal, -521, -178, 231
2020-11-27_14-34-22-365, ypr, 158.88, 3.93, 0.64, areal, -539, -176, 223
