2020-11-27_14-39-00-576, ypr, 16.83, 0.36, -0.26, areal, 282, 50, 47
2020-11-27_14-39-00-594, ypr, 16.79, 0.34, -0.27, areal, 283, 52, 50
2020-11-27_14-39-00-612, ypr, 16.70, 0.31, -0.29, areal, 260, 51, 28
2020-11-27_14-39-00-631, ypr, 16.61, 0.28, -0.32, areal, 211, 63, 26
2020-11-27_14-39-00-649, ypr, 16.54, 0.25, -0.34, areal, 206, 57, 50
2020-11-27_14-39-00-665, ypr, 16.50, 0.25, -0.35, areal, 239, 51, 60
2020-11-27_14-39-00-683, ypr, 16.43, 0.24, -0.36, areal, 305, 55, 57
2020-11-27_14-39-00-702, ypr, 16.35, 0.22, -0.39, areal, 316, 49, 81
2020-11-27_14-39-00-720, ypr, 16.27, 0.19, -0.40, areal, 319, 60, 74
2020-11-27_14-39-00-736, ypr, 16.23, 0.18, -0.41, areal, 314, 57, 72
2020-11-27_14-39-00-753, ypr, 16.16, 0.15, -0.42, areal, 313, 67, 60
2020-11-27_14-39-00-771, ypr, 16.09, 0.13, -0.44, areal, 337, 62, 70
2020-11-27_14-39-00-789, ypr, 16.02, 0.11, -0.45, areal, 399, 65, 80
2020-11-27_14-39-00-804, ypr, 15.99, 0.10, -0.46, areal, 425, 67, 85
2020-11-27_14-39-00-822, ypr, 15.91, 0.07, -0.48, areal, 456, 80, 91
2020-11-27_14-39-00-840, ypr, 15.84, 0.03, -0.49, areal, 410, 81, 78
2020-11-27_14-39-00-856, ypr, 15.80, 0.00, -0.49, areal, 389, 81, 69
2020-11-27_14-39-00-873, ypr, 15.73, -0.04, -0.51, areal, 366, 84, 59
2020-11-27_14-39-00-893, ypr, 15.68, -0.08, -0.51, areal, 366, 88, 70
2020-11-27_14-39-00-914, ypr, 15.63, -0.10, -0.51, areal, 390, 91, 62
2020-11-27_14-39-00-932, ypr, 15.58, -0.12, -0.52, areal, 401, 92, 59
2020-11-27_14-39-00-951, ypr, 15.53, -0.13, -0.53, areal, 369, 85, 39
2020-11-27_14-39-00-970, ypr, 15.49, -0.15, -0.52, areal, 338, 87, 32
