2020-11-27_14-39-33-582, ypr, -55.14, -4.97, -0.68, areal, 11, -4, 15
2020-11-27_14-39-33-599, ypr, -55.15, -4.97, -0.68, areal, 8, -3, 11
2020-11-27_14-39-33-617, ypr, -55.16, -4.98, -0.68, areal, 6, 3, 12
2020-11-27_14-39-33-635, ypr, -55.17, -4.99, -0.67, areal, 18, 13, 16
2020-11-27_14-39-33-651, ypr, -55.19, -4.99, -0.68, areal, 28, 18, 10
2020-11-27_14-39-33-669, ypr, -55.21, -5.01, -0.68, areal, 27, 3, 5
2020-11-27_14-39-33-688, ypr, -55.23, -5.03, -0.68, areal, 32, 2, -1
2020-11-27_14-39-33-705, ypr, -55.26, -5.04, -0.68, areal, 46, 16, 4
2020-11-27_14-39-33-720, ypr, -55.27, -5.05, -0.68, areal, 53, 21, 2
2020-11-27_14-39-33-738, ypr, -55.31, -5.06, -0.69, areal, 66, 23, -8
2020-11-27_14-39-33-756, ypr, -55.33, -5.08, -0.68, areal, 75, 11, -13
2020-11-27_14-39-33-777, ypr, -55.35, -5.08, -0.69, areal, 74, 6, -13
2020-11-27_14-39-33-795, ypr, -55.37, -5.09, -0.69, areal, 56, 13, -27
2020-11-27_14-39-33-811, ypr, -55.38, -5.09, -0.69, areal, 44, 16, -30
2020-11-27_14-39-33-830, ypr, -55.39, -5.09, -0.68, areal, 37, 15, -26
2020-11-27_14-39-33-847, ypr, -55.41, -5.08, -0.69, areal, 43, 10, -27
2020-11-27_14-39-33-866, ypr, -55.41, -5.06, -0.68, areal, 56, 6, -24
2020-11-27_14-39-33-885, ypr, -55.42, -5.05, -0.68, areal, 69, 15, -21
2020-11-27_14-39-33-902, ypr, -55.43, -5.05, -0.67, areal, 73, 19, -23
2020-11-27_14-39-33-920, ypr, -55.44, -5.03, -0.67, areal, 71, 21, -14
2020-11-27_14-39-33-938, ypr, -55.46, -5.03, -0.67, areal, 68, 19, -15
2020-11-27_14-39-33-957, ypr, -55.47, -5.02, -0.66, areal, 78, 16, -5
2020-11-27_14-39-33-976, ypr, -55.50, -5.01, -0.66, areal, 96, 27, -11
2020-11-27_14-39-33-991, ypr, -55.52, -5.01, -0.66, areal, 104, 33, -17
2020-11-27_14-39-34-009, ypr, -55.54, -5.01, -0.65, areal, 121, 34, -29
2020-11-27_14-39-34-027, ypr, -55.58, -5.02, -0.66, areal, 129, 26, -14
2020-11-27_14-39-34-045, ypr, -55.61, -5.03, -0.66, areal, 127, 32, -16
2020-11-27_14-39-34-060, ypr, -55.62, -5.04, -0.65, areal, 130, 40, -13
2020-11-27_14-39-34-082, ypr, -55.65, -5.05, -0.66, areal, 130, 37, -24
2020-11-27_14-39-34-100, ypr, -55.68, -5.06, -0.66, areal, 130, 31, -28
2020-11-27_14-39-34-118, ypr, -55.70, -5.07, -0.66, areal, 138, 31, -31
2020-11-27_14-39-34-136, ypr, -55.73, -5.07, -0.66, areal, 137, 31, -24
2020-11-27_14-39-34-151, ypr, -55.74, -5.07, -0.66, areal, 137, 30, -17
2020-11-27_14-39-34-169, ypr, -55.75, -5.07, -0.66, areal, 131, 33, -12
2020-11-27_14-39-34-187, ypr, -55.77, -5.07, -0.65, areal, 121, 33, -12
2020-11-27_14-39-34-205, ypr, -55.77, -5.06, -0.65, areal, 116, 20, -15
2020-11-27_14-39-34-220, ypr, -55.77, -5.05, -0.65, areal, 116, 17, -22
2020-11-27_14-39-34-238, ypr, -55.78, -5.03, -0.64, areal, 113, 21, -23
