2020-11-27_14-40-33-592, ypr, -109.78, 8.48, -2.08, areal, 223, 4, 809
2020-11-27_14-40-33-608, ypr, -109.79, 8.49, -2.09, areal, 222, 8, 806
2020-11-27_14-40-33-625, ypr, -109.79, 8.49, -2.10, areal, 223, 8, 805
2020-11-27_14-40-33-640, ypr, -109.80, 8.50, -2.11, areal, 225, 4, 815
2020-11-27_14-40-33-657, ypr, -109.81, 8.51, -2.12, areal, 224, 3, 816
2020-11-27_14-40-33-678, ypr, -109.82, 8.52, -2.12, areal, 221, 8, 807
2020-11-27_14-40-33-696, ypr, -109.83, 8.54, -2.13, areal, 221, 10, 802
2020-11-27_14-40-33-711, ypr, -109.83, 8.55, -2.14, areal, 223, 6, 802
2020-11-27_14-40-33-729, ypr, -109.83, 8.56, -2.15, areal, 219, 3, 813
2020-11-27_14-40-33-746, ypr, -109.84, 8.57, -2.16, areal, 226, 5, 821
2020-11-27_14-40-33-761, ypr, -109.85, 8.58, -2.16, areal, 229, 12, 817
2020-11-27_14-40-33-781, ypr, -109.86, 8.60, -2.17, areal, 218, 18, 812
2020-11-27_14-40-33-798, ypr, -109.86, 8.61, -2.18, areal, 211, 15, 819
2020-11-27_14-40-33-815, ypr, -109.87, 8.62, -2.19, areal, 222, 10, 824
2020-11-27_14-40-33-831, ypr, -109.87, 8.63, -2.19, areal, 225, 11, 825
2020-11-27_14-40-33-848, ypr, -109.87, 8.65, -2.20, areal, 217, 12, 824
2020-11-27_14-40-33-865, ypr, -109.88, 8.66, -2.20, areal, 218, 16, 827
2020-11-27_14-40-33-881, ypr, -109.88, 8.67, -2.21, areal, 215, 15, 826
2020-11-27_14-40-33-898, ypr, -109.89, 8.68, -2.22, areal, 209, 8, 820
2020-11-27_14-40-33-915, ypr, -109.89, 8.69, -2.23, areal, 189, 15, 826
2020-11-27_14-40-33-930, ypr, -109.89, 8.70, -2.23, areal, 181, 22, 824
2020-11-27_14-40-33-947, ypr, -109.89, 8.72, -2.24, areal, 185, 33, 814
2020-11-27_14-40-33-964, ypr, -109.89, 8.74, -2.24, areal, 192, 30, 836
2020-11-27_14-40-33-982, ypr, -109.90, 8.75, -2.25, areal, 194, 26, 846
2020-11-27_14-40-34-000, ypr, -109.90, 8.78, -2.25, areal, 211, 14, 849
2020-11-27_14-40-34-017, ypr, -109.89, 8.81, -2.26, areal, 205, 14, 845
2020-11-27_14-40-34-034, ypr, -109.89, 8.83, -2.27, areal, 201, 13, 848
2020-11-27_14-40-34-049, ypr, -109.88, 8.84, -2.27, areal, 200, 10, 851
2020-11-27_14-40-34-066, ypr, -109.88, 8.87, -2.28, areal, 195, 7, 844
2020-11-27_14-40-34-081, ypr, -109.88, 8.88, -2.28, areal, 201, 1, 844
2020-11-27_14-40-34-099, ypr, -109.88, 8.89, -2.28, areal, 202, -3, 862
2020-11-27_14-40-34-116, ypr, -109.89, 8.91, -2.30, areal, 198, -2, 873
2020-11-27_14-40-34-131, ypr, -109.89, 8.91, -2.30, areal, 196, 0, 867
2020-11-27_14-40-34-148, ypr, -109.90, 8.92, -2.31, areal, 183, 0, 856
