2020-11-27_14-53-34-021, ypr, 108.57, -8.17, -0.94, areal, 71, 12, -93
2020-11-27_14-53-34-038, ypr, 108.57, -8.15, -0.94, areal, 91, 21, -86
2020-11-27_14-53-34-055, ypr, 108.55, -8.10, -0.94, areal, 128, 21, -93
2020-11-27_14-53-34-073, ypr, 108.53, -8.06, -0.93, areal, 165, 16, -88
2020-11-27_14-53-34-093, ypr, 108.51, -8.03, -0.92, areal, 128, 18, -98
2020-11-27_14-53-34-108, ypr, 108.49, -8.02, -0.92, areal, 100, 16, -99
2020-11-27_14-53-34-128, ypr, 108.46, -7.99, -0.91, areal, 64, 29, -108
2020-11-27_14-53-34-146, ypr, 108.42, -7.96, -0.90, areal, 93, 29, -111
2020-11-27_14-53-34-163, ypr, 108.38, -7.92, -0.89, areal, 178, 23, -91
2020-11-27_14-53-34-180, ypr, 108.36, -7.90, -0.88, areal, 221, 33, -88
2020-11-27_14-53-34-199, ypr, 108.29, -7.87, -0.87, areal, 261, 36, -77
2020-11-27_14-53-34-216, ypr, 108.23, -7.85, -0.87, areal, 243, 45, -91
2020-11-27_14-53-34-236, ypr, 108.16, -7.84, -0.86, areal, 221, 38, -93
2020-11-27_14-53-34-253, ypr, 108.11, -7.81, -0.86, areal, 247, 34, -96
2020-11-27_14-53-34-270, ypr, 108.08, -7.79, -0.86, areal, 286, 38, -87
2020-11-27_14-53-34-289, ypr, 108.03, -7.74, -0.84, areal, 376, 63, -92
2020-11-27_14-53-34-308, ypr, 107.97, -7.70, -0.83, areal, 438, 78, -92
2020-11-27_14-53-34-326, ypr, 107.91, -7.68, -0.82, areal, 412, 94, -108
2020-11-27_14-53-34-344, ypr, 107.83, -7.68, -0.81, areal, 345, 86, -132
2020-11-27_14-53-34-360, ypr, 107.79, -7.69, -0.81, areal, 313, 81, -153
2020-11-27_14-53-34-377, ypr, 107.71, -7.71, -0.80, areal, 285, 74, -179
2020-11-27_14-53-34-395, ypr, 107.64, -7.72, -0.80, areal, 318, 92, -220
2020-11-27_14-53-34-411, ypr, 107.59, -7.73, -0.80, areal, 338, 98, -228
2020-11-27_14-53-34-428, ypr, 107.49, -7.76, -0.79, areal, 361, 122, -267
2020-11-27_14-53-34-446, ypr, 107.38, -7.80, -0.78, areal, 371, 158, -311
2020-11-27_14-53-34-463, ypr, 107.24, -7.85, -0.77, areal, 409, 180, -357
2020-11-27_14-53-34-479, ypr, 107.18, -7.88, -0.77, areal, 446, 183, -375
2020-11-27_14-53-34-496, ypr, 107.02, -7.96, -0.77, areal, 510, 189, -421
2020-11-27_14-53-34-514, ypr, 106.84, -8.06, -0.77, areal, 587, 227, -471
2020-11-27_14-53-34-530, ypr, 106.73, -8.13, -0.76, areal, 627, 253, -505
