Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190729_215033;0,871;0,318;10,300;0,120;-0,154;0,038;
20190729_215033;0,733;0,488;9,653;0,065;0,215;-0,071;
20190729_215033;0,864;0,472;9,843;-0,072;-0,028;0,006;
20190729_215034;0,917;0,474;9,687;-0,004;0,025;0,015;
20190729_215034;0,855;0,412;9,919;-0,010;0,010;0,015;
20190729_215034;0,840;0,443;9,601;0,023;0,018;0,015;
20190729_215034;0,951;0,342;9,804;-0,011;-0,036;0,048;
20190729_215034;1,018;0,338;9,871;0,008;-0,046;0,027;
20190729_215034;1,068;0,010;10,001;-0,060;0,092;0,021;
20190729_215034;1,630;0,072;9,613;0,185;-0,266;0,091;
20190729_215034;1,393;0,323;9,768;-0,021;-0,257;0,048;
20190729_215034;1,879;0,563;9,601;-0,121;-0,224;0,106;
20190729_215034;1,432;0,579;9,505;-0,086;-0,161;0,079;
20190729_215035;1,408;0,268;9,893;-0,048;0,035;0,082;
20190729_215035;1,654;0,359;9,438;0,066;0,083;0,067;
20190729_215035;2,222;0,091;10,151;-0,107;-0,422;0,356;
20190729_215035;1,939;0,230;9,148;0,105;-0,235;0,113;
20190729_215035;0,560;0,438;8,461;-0,085;0,405;0,267;
20190729_215035;-2,952;2,562;8,612;0,044;1,848;0,299;
20190729_215035;-8,456;4,075;8,933;0,325;3,957;0,761;
20190729_215035;-8,179;5,449;8,042;1,370;7,220;0,923;
20190729_215035;-5,025;2,069;12,335;-0,277;2,986;-0,148;
20190729_215035;-9,809;-4,683;6,038;1,920;-3,004;-1,398;
20190729_215036;-8,167;0,900;12,330;-0,800;-10,279;0,787;
20190729_215036;-0,180;2,717;11,423;-0,878;-10,445;2,849;
20190729_215036;4,377;0,680;11,746;1,215;-1,750;0,979;
20190729_215036;9,618;-6,553;12,598;3,626;1,587;0,687;
20190729_215036;9,251;-3,603;10,997;3,139;3,731;0,147;
20190729_215036;-5,301;1,255;7,606;-0,202;5,116;0,055;
20190729_215036;1,322;0,110;7,037;0,531;1,351;0,838;
20190729_215036;5,737;-0,098;8,866;-0,150;-0,909;0,467;
20190729_215036;0,450;2,258;9,898;-0,194;-2,726;0,977;
20190729_215037;0,213;3,254;10,975;-0,441;-0,935;-0,258;
20190729_215037;0,929;2,169;9,759;-0,212;-0,138;-0,103;
20190729_215037;1,132;2,140;9,294;0,021;-0,141;-0,109;
20190729_215037;1,159;2,093;9,345;0,053;-0,040;-0,085;
20190729_215037;0,840;2,289;9,819;0,216;0,116;-0,154;
