Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20200827_195724;1.384;5.521;7.585;-0.062;0.080;-0.107;
20200827_195724;1.176;5.265;7.887;0.004;0.031;0.018;
20200827_195724;1.235;5.353;7.824;0.002;0.005;-0.007;
20200827_195724;1.101;5.449;7.764;0.006;0.007;-0.023;
20200827_195724;0.994;5.332;7.829;-0.001;-0.006;-0.029;
20200827_195724;1.128;5.358;7.812;-0.005;-0.009;-0.003;
20200827_195724;1.156;5.329;7.882;-0.010;-0.022;-0.055;
20200827_195724;0.869;5.339;7.843;-0.015;-0.027;-0.042;
20200827_195724;0.929;5.478;7.867;-0.005;0.022;0.128;
20200827_195725;0.982;5.334;7.815;-0.013;0.014;0.196;
20200827_195725;1.542;5.681;7.523;-0.034;-0.064;-0.076;
20200827_195725;1.614;5.784;7.587;-0.019;-0.063;-0.208;
20200827_195725;0.718;6.139;7.427;0.005;-0.017;-0.196;
20200827_195725;1.369;5.794;7.599;0.000;-0.050;-0.313;
20200827_195725;0.883;5.425;8.181;-0.035;-0.108;-0.410;
20200827_195725;-0.304;6.191;7.381;-0.082;-0.240;-0.644;
20200827_195725;1.142;5.837;7.860;-0.067;-0.205;-0.468;
20200827_195725;2.313;5.868;7.676;0.006;0.007;-0.057;
20200827_195725;-0.587;6.524;6.812;0.006;-0.100;-0.562;
20200827_195726;-0.503;6.859;6.390;-0.059;-0.129;-0.110;
20200827_195726;2.849;5.653;8.334;-0.020;-0.250;-0.988;
20200827_195726;-0.237;5.933;7.563;-0.020;-0.258;-1.246;
20200827_195726;-2.591;7.391;7.180;-0.004;-0.166;-0.392;
20200827_195726;-2.169;7.803;6.306;0.061;-0.045;0.366;
20200827_195726;-1.587;5.459;7.743;0.035;0.271;1.441;
20200827_195726;1.111;4.920;8.806;0.096;0.580;1.937;
20200827_195726;-0.436;5.219;6.404;0.078;0.318;0.448;
20200827_195726;3.268;9.091;10.793;-0.061;-0.117;-0.328;
20200827_195726;1.386;4.542;9.380;-0.126;-0.216;-0.598;
20200827_195727;-2.009;3.330;8.710;0.025;-0.014;0.438;
20200827_195727;3.967;4.865;8.485;0.074;0.312;1.308;
20200827_195727;3.328;4.259;8.088;0.045;-0.014;-0.434;
20200827_195727;2.351;6.278;7.887;-0.013;-0.245;-1.276;
20200827_195727;1.396;5.085;8.361;-0.029;-0.399;-1.872;
20200827_195727;-1.331;6.697;8.320;-0.032;-0.483;-1.850;
20200827_195727;-1.597;4.968;9.067;0.011;-0.440;-1.059;
20200827_195727;-2.184;5.698;7.484;0.113;-0.410;-0.443;
20200827_195727;-3.299;4.946;7.772;0.125;-0.170;0.847;
20200827_195727;0.007;4.446;7.027;0.046;0.076;1.807;
20200827_195728;2.097;5.389;7.822;-0.001;0.258;1.637;
20200827_195728;0.687;4.776;7.661;0.022;0.330;1.234;
20200827_195728;2.574;3.646;8.535;0.055;0.257;0.917;
20200827_195728;4.697;4.178;8.983;0.079;0.160;0.074;
20200827_195728;1.961;5.480;6.771;0.082;-0.036;-1.144;
20200827_195728;0.718;5.444;8.384;0.005;-0.015;-0.792;
20200827_195728;-1.314;4.882;7.894;0.015;0.069;-0.075;
20200827_195728;-1.544;5.993;8.478;0.033;0.143;0.750;
20200827_195728;1.343;6.639;7.077;0.088;0.399;1.496;
20200827_195729;2.885;4.444;9.191;0.093;0.302;0.765;
20200827_195729;2.732;5.131;7.250;0.113;0.197;-0.256;
20200827_195729;1.403;4.875;6.986;0.049;0.097;-0.581;
20200827_195729;2.610;5.521;8.126;-0.038;-0.050;-0.899;
20200827_195729;-2.492;6.060;6.438;-0.010;0.096;-0.485;
20200827_195729;-1.075;5.227;6.883;-0.006;0.165;0.468;
20200827_195729;2.143;4.853;7.843;-0.024;-0.039;-0.270;
20200827_195729;-0.316;5.023;7.185;-0.012;-0.170;-0.378;
20200827_195729;0.357;4.865;7.705;-0.011;-0.121;0.064;
20200827_195729;0.362;6.579;7.817;0.041;-0.027;0.228;
20200827_195730;1.159;4.776;8.554;0.017;-0.013;0.035;
20200827_195730;-0.383;6.115;5.040;0.043;0.010;0.079;
20200827_195730;0.711;5.691;7.111;0.094;-0.040;0.034;
20200827_195730;1.777;5.952;8.885;0.004;0.041;0.164;
20200827_195730;1.865;5.212;6.929;0.050;0.025;-0.105;
20200827_195730;0.419;5.243;8.200;0.003;0.027;-0.239;
20200827_195730;1.992;5.519;8.169;-0.024;-0.067;-0.580;
20200827_195730;2.519;3.515;8.985;-0.049;-0.125;-0.683;
20200827_195730;0.622;4.736;7.906;-0.048;-0.041;-0.558;
20200827_195731;-2.265;5.339;8.164;0.018;-0.053;-0.158;
20200827_195731;-0.534;5.234;9.110;0.001;-0.076;0.127;
20200827_195731;0.031;5.282;7.697;-0.005;0.043;0.283;
20200827_195731;0.532;5.174;7.946;0.010;-0.006;-0.074;
20200827_195731;0.247;4.911;8.823;0.000;-0.108;-0.509;
20200827_195731;0.335;5.430;8.665;0.012;-0.150;-0.611;
20200827_195731;-0.584;4.247;9.603;-0.011;-0.201;-0.502;
20200827_195731;-0.321;3.749;9.955;0.020;-0.225;-0.266;
20200827_195731;-0.314;4.252;9.582;-0.008;-0.229;-0.179;
20200827_195731;0.077;5.729;8.746;0.041;-0.186;-0.193;
20200827_195732;-0.864;5.373;9.507;0.006;-0.300;-0.424;
20200827_195732;-1.774;5.763;9.752;0.023;-0.209;-0.072;
20200827_195732;-1.104;4.671;8.253;0.034;-0.051;0.512;
20200827_195732;-0.318;6.211;8.787;0.049;-0.057;0.490;
20200827_195732;-0.110;6.306;5.839;0.043;0.052;0.769;
20200827_195732;1.824;3.546;8.241;0.008;0.128;0.411;
20200827_195732;2.054;2.737;8.327;-0.027;0.014;0.093;
20200827_195732;0.654;3.936;10.467;-0.016;0.218;0.735;
20200827_195732;1.923;6.361;7.697;0.044;0.296;0.743;
20200827_195733;2.741;4.549;5.976;0.047;0.160;-0.313;
20200827_195733;1.508;4.997;8.653;0.010;-0.067;-0.883;
20200827_195733;1.578;4.671;7.944;-0.012;-0.226;-1.283;
20200827_195733;1.343;4.240;4.017;-0.141;-0.257;-0.871;
20200827_195733;1.999;7.144;9.969;0.133;-0.112;-0.081;
20200827_195733;-0.697;6.584;7.961;0.023;0.143;0.827;
20200827_195733;-0.213;6.103;8.631;-0.034;0.161;0.733;
20200827_195733;0.153;5.703;7.472;0.074;-0.003;-0.002;
20200827_195733;-0.283;4.887;7.757;0.067;-0.005;0.051;
20200827_195733;0.201;4.623;9.584;0.065;-0.015;-0.114;
20200827_195734;0.299;5.167;8.717;-0.086;-0.166;-0.643;
20200827_195734;0.302;5.327;7.776;-0.008;-0.241;-0.569;
20200827_195734;-1.094;5.801;7.245;0.046;-0.160;0.022;
20200827_195734;-1.240;4.539;7.630;0.003;-0.013;0.834;
20200827_195734;1.487;5.854;7.891;-0.025;0.154;1.208;
20200827_195734;1.535;5.667;7.580;0.017;0.259;0.917;
20200827_195734;1.800;4.489;7.628;0.026;0.288;0.707;
20200827_195734;2.617;4.034;8.370;0.023;0.149;-0.101;
20200827_195734;1.446;4.293;8.909;0.023;0.135;-0.225;
20200827_195735;0.474;5.586;6.404;0.051;0.099;-0.246;
20200827_195735;0.445;5.928;8.753;0.014;0.111;-0.020;
20200827_195735;0.146;5.217;8.076;0.013;0.096;0.026;
20200827_195735;0.429;5.787;7.769;0.043;0.155;0.378;
20200827_195735;0.934;5.023;7.925;0.020;0.218;0.421;
20200827_195735;2.023;5.394;6.682;0.043;0.163;0.039;
20200827_195735;1.887;5.531;8.186;-0.024;0.049;-0.456;
20200827_195735;-1.061;4.372;8.729;-0.032;-0.066;-0.518;
20200827_195735;-0.290;4.005;7.719;0.047;-0.045;-0.122;
20200827_195736;0.548;4.872;7.956;0.031;-0.088;-0.157;
20200827_195736;1.678;5.533;6.330;0.035;-0.186;-0.403;
20200827_195736;-0.716;6.017;8.325;0.020;-0.080;-0.130;
20200827_195736;-0.347;6.436;7.611;0.042;-0.056;0.083;
20200827_195736;0.261;5.174;6.531;0.096;0.013;0.568;
20200827_195736;1.348;5.641;7.930;-0.053;0.075;0.387;
20200827_195736;1.417;5.164;8.253;-0.033;0.078;0.087;
20200827_195736;1.228;3.479;8.830;-0.041;-0.011;-0.161;
20200827_195736;1.463;4.135;8.248;-0.005;-0.042;-0.318;
20200827_195736;0.644;4.669;8.066;-0.013;-0.045;-0.369;
20200827_195737;-0.656;7.175;7.898;0.005;-0.089;-0.397;
20200827_195737;-1.295;5.289;7.554;0.043;-0.047;0.001;
20200827_195737;-0.484;5.655;8.464;0.048;0.002;0.373;
20200827_195737;-1.087;5.533;8.104;-0.012;0.164;0.876;
20200827_195737;2.634;5.710;6.833;-0.032;0.246;0.881;
20200827_195737;2.030;4.695;6.699;-0.082;0.202;0.054;
20200827_195737;-1.085;4.973;7.415;-0.085;0.233;0.179;
20200827_195737;-0.026;5.363;8.622;-0.113;0.037;0.101;
20200827_195737;0.759;3.239;8.657;-0.120;0.155;0.292;
20200827_195737;0.330;5.847;9.606;-0.074;0.198;-0.036;
