Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20190908_141509;3.833;5.691;3.929;0.210;-0.231;0.165;
20190908_141509;2.045;3.936;8.897;-0.984;1.719;0.648;
20190908_141509;2.703;3.232;8.940;-1.618;0.688;0.751;
20190908_141510;2.617;3.836;9.201;-0.475;0.458;0.020;
20190908_141510;-0.177;3.773;7.599;0.200;1.046;-0.022;
20190908_141510;0.036;3.958;7.491;0.134;-0.088;0.294;
20190908_141510;-0.034;4.005;7.757;0.229;0.060;0.180;
20190908_141510;-0.148;4.238;8.806;1.422;0.161;-0.290;
20190908_141510;-0.172;4.671;7.561;0.741;0.124;0.078;
20190908_141510;0.733;5.732;6.685;0.042;-0.439;0.085;
20190908_141510;-0.517;4.630;5.696;0.593;0.360;0.248;
20190908_141510;-2.875;6.713;6.895;1.551;3.439;-0.651;
20190908_141511;-0.510;6.055;9.323;0.811;-3.035;2.300;
20190908_141511;2.878;6.419;6.574;0.460;-0.003;-0.091;
20190908_141511;3.060;5.751;4.410;0.542;-2.253;0.887;
20190908_141511;2.614;6.699;6.208;0.119;-0.348;-0.165;
20190908_141511;4.089;6.024;2.880;0.598;-0.901;0.510;
20190908_141511;4.020;6.522;4.475;0.066;-0.760;0.287;
20190908_141511;3.464;7.080;1.844;1.043;-1.283;-0.687;
20190908_141511;4.214;8.195;2.174;0.583;0.343;-0.017;
20190908_141511;5.274;8.794;0.560;2.543;-0.370;-0.827;
20190908_141511;4.338;7.915;-2.236;2.114;-0.622;-0.523;
20190908_141512;4.808;8.492;-2.950;1.976;0.248;0.045;
20190908_141512;4.046;8.744;-5.016;0.949;0.032;-0.795;
20190908_141512;2.143;8.871;-5.437;0.761;-0.021;-0.724;
20190908_141512;2.550;7.824;-5.883;0.540;-0.145;-0.900;
20190908_141512;1.085;7.362;-7.154;0.752;0.643;0.436;
20190908_141512;5.942;6.591;-6.682;0.638;0.401;-0.112;
20190908_141512;2.756;7.053;-6.495;0.025;-0.771;-0.494;
