Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;
20191008_113239;0,189;-0,251;9,723;0,002;-0,062;-0,001;
20191008_113239;0,196;-0,180;9,761;0,001;-0,001;0,001;
20191008_113239;0,208;-0,247;9,759;-0,000;-0,001;-0,001;
20191008_113239;0,201;-0,204;9,747;-0,000;-0,000;-0,001;
20191008_113240;0,199;-0,235;9,740;-0,000;-0,000;-0,001;
20191008_113240;0,196;-0,225;9,752;-0,000;-0,000;-0,001;
20191008_113240;0,201;-0,220;9,742;-0,000;-0,000;-0,001;
20191008_113240;0,192;-0,215;9,754;-0,000;-0,000;0,002;
20191008_113240;0,187;-0,225;9,756;0,001;-0,000;-0,001;
20191008_113240;0,199;-0,242;9,752;-0,001;-0,001;0,001;
20191008_113240;0,184;-0,220;9,749;-0,000;-0,000;-0,001;
20191008_113240;0,199;-0,232;9,744;-0,000;-0,000;-0,001;
20191008_113240;0,208;-0,206;9,764;0,001;-0,000;0,001;
20191008_113240;0,201;-0,239;9,756;-0,000;-0,001;-0,001;
20191008_113241;0,206;-0,196;9,749;0,001;-0,000;-0,001;
20191008_113241;0,194;-0,227;9,759;-0,000;-0,001;-0,002;
20191008_113241;0,187;-0,215;9,756;-0,000;-0,000;0,001;
20191008_113241;0,194;-0,225;9,768;-0,000;0,001;-0,002;
20191008_113241;0,187;-0,223;9,744;-0,001;-0,000;0,001;
20191008_113241;0,192;-0,225;9,761;-0,001;-0,001;-0,001;
20191008_113241;0,206;-0,218;9,744;-0,000;-0,000;-0,001;
20191008_113241;0,206;-0,220;9,747;-0,000;-0,000;-0,002;
20191008_113241;0,189;-0,239;9,752;-0,000;-0,000;0,001;
20191008_113242;0,189;-0,213;9,747;-0,000;-0,000;0,001;
20191008_113242;0,194;-0,225;9,754;0,001;-0,002;-0,001;
20191008_113242;0,189;-0,211;9,749;-0,000;0,001;-0,001;
20191008_113242;0,199;-0,227;9,771;-0,000;-0,000;0,001;
20191008_113242;0,196;-0,230;9,761;-0,000;-0,000;0,001;
20191008_113242;0,189;-0,230;9,773;-0,000;-0,000;-0,001;
20191008_113242;0,208;-0,211;9,740;0,001;-0,002;-0,001;
20191008_113242;0,194;-0,218;9,756;-0,000;-0,001;-0,002;
20191008_113242;0,196;-0,230;9,761;-0,001;-0,000;-0,001;
20191008_113242;0,189;-0,220;9,776;-0,000;-0,000;-0,001;
20191008_113243;0,189;-0,232;9,752;-0,000;-0,000;-0,001;
20191008_113243;0,199;-0,232;9,759;-0,000;-0,001;-0,001;
20191008_113243;0,204;-0,218;9,759;-0,000;-0,000;0,001;
20191008_113243;0,204;-0,215;9,749;-0,000;-0,000;-0,001;
20191008_113243;0,199;-0,223;9,754;-0,000;-0,001;-0,001;
20191008_113243;0,199;-0,242;9,732;-0,000;-0,000;-0,001;
20191008_113243;0,192;-0,215;9,747;-0,002;-0,000;0,001;
20191008_113243;0,196;-0,223;9,771;-0,001;-0,000;-0,001;
20191008_113243;0,213;-0,220;9,761;-0,000;0,001;-0,001;
20191008_113243;0,194;-0,215;9,759;-0,000;-0,001;0,001;
20191008_113244;0,194;-0,227;9,771;0,001;-0,000;-0,001;
20191008_113244;0,208;-0,218;9,742;-0,000;-0,001;0,001;
20191008_113244;0,223;-0,211;9,761;-0,001;-0,000;0,001;
20191008_113244;0,201;-0,225;9,761;-0,000;-0,000;-0,001;
20191008_113244;0,206;-0,223;9,754;0,000;0,001;0,001;
20191008_113244;0,196;-0,218;9,754;0,000;0,000;-0,000;
20191008_113244;0,196;-0,225;9,744;0,001;0,000;-0,000;
20191008_113244;0,194;-0,225;9,752;0,000;-0,001;0,001;
20191008_113244;0,192;-0,225;9,754;0,000;0,000;0,001;
20191008_113245;0,196;-0,225;9,744;0,000;-0,001;-0,000;
20191008_113245;0,194;-0,223;9,771;-0,001;-0,001;-0,000;
20191008_113245;0,184;-0,215;9,747;0,000;-0,001;0,001;
20191008_113245;0,199;-0,220;9,759;-0,001;-0,001;-0,000;
20191008_113245;0,182;-0,227;9,764;0,000;0,001;0,001;
20191008_113245;0,192;-0,225;9,749;0,001;0,000;-0,000;
20191008_113245;0,196;-0,230;9,761;0,000;0,000;-0,000;
20191008_113245;0,204;-0,232;9,725;-0,001;0,000;0,001;
20191008_113245;0,199;-0,225;9,747;0,000;0,000;-0,000;
20191008_113246;0,187;-0,227;9,749;0,000;0,000;0,001;
20191008_113246;0,194;-0,227;9,749;0,000;0,001;-0,000;
20191008_113246;0,194;-0,225;9,749;0,000;0,001;0,001;
20191008_113246;0,192;-0,213;9,756;0,000;0,000;-0,000;
20191008_113246;0,189;-0,232;9,764;0,000;0,000;-0,000;
20191008_113246;0,194;-0,223;9,752;0,000;-0,002;-0,000;
20191008_113246;0,196;-0,230;9,761;0,000;0,000;0,001;
20191008_113246;0,201;-0,227;9,749;-0,001;0,000;-0,000;
20191008_113246;0,199;-0,237;9,761;-0,001;0,000;0,001;
20191008_113246;0,215;-0,223;9,742;0,000;0,000;-0,000;
20191008_113247;0,206;-0,237;9,766;0,000;0,000;-0,000;
20191008_113247;0,192;-0,227;9,756;-0,001;-0,001;0,001;
20191008_113247;0,206;-0,227;9,764;0,001;0,000;0,002;
20191008_113247;0,199;-0,242;9,740;0,000;-0,001;0,001;
20191008_113247;0,180;-0,230;9,742;0,000;0,001;-0,000;
20191008_113247;0,184;-0,218;9,752;0,000;0,000;0,001;
20191008_113247;0,194;-0,232;9,732;-0,001;0,000;0,001;
20191008_113247;0,192;-0,225;9,735;0,000;0,001;-0,000;
20191008_113247;0,206;-0,232;9,706;0,000;0,000;0,001;
20191008_113248;0,204;-0,215;9,723;0,000;0,000;0,001;
20191008_113248;0,194;-0,215;9,711;0,000;0,000;0,001;
20191008_113248;0,189;-0,227;9,706;0,001;-0,001;-0,001;
20191008_113248;0,211;-0,213;9,697;0,000;0,000;-0,000;
20191008_113248;0,199;-0,223;9,689;0,000;0,000;-0,000;
20191008_113248;0,206;-0,201;9,680;0,000;0,000;-0,000;
20191008_113248;0,204;-0,215;9,687;0,000;-0,001;0,002;
20191008_113248;0,199;-0,225;9,682;-0,001;0,000;0,002;
20191008_113248;0,199;-0,223;9,699;0,000;0,000;0,001;
20191008_113249;0,194;-0,220;9,673;0,000;-0,001;-0,000;
20191008_113249;0,201;-0,215;9,685;-0,001;0,000;0,001;
20191008_113249;0,189;-0,208;9,689;0,000;0,000;-0,000;
20191008_113249;0,206;-0,196;9,685;0,000;0,000;-0,000;
20191008_113249;0,206;-0,227;9,694;-0,001;-0,001;-0,000;
20191008_113249;0,201;-0,206;9,685;-0,001;0,000;0,001;
20191008_113249;0,194;-0,232;9,685;-0,001;0,000;-0,000;
20191008_113249;0,208;-0,225;9,687;0,000;-0,001;-0,000;
20191008_113249;0,218;-0,206;9,694;0,000;0,000;-0,000;
20191008_113249;0,201;-0,239;9,692;0,000;0,000;-0,000;
20191008_113250;0,172;-0,158;9,697;0,000;-0,001;-0,000;
20191008_113250;0,213;-0,263;9,711;0,000;0,000;-0,000;
20191008_113250;0,218;-0,177;9,704;-0,001;0,000;0,002;
20191008_113250;0,218;-0,215;9,699;0,000;-0,001;-0,001;
20191008_113250;0,227;-0,187;9,694;0,000;0,000;0,001;
20191008_113250;0,215;-0,184;9,692;0,000;-0,001;-0,000;
20191008_113250;0,227;-0,220;9,701;0,000;0,000;-0,000;
20191008_113250;0,189;-0,165;9,689;0,000;0,000;0,001;
20191008_113250;0,206;-0,249;9,692;0,000;-0,001;0,001;
20191008_113251;0,199;-0,182;9,694;0,000;-0,001;0,001;
20191008_113251;0,218;-0,249;9,697;-0,001;-0,001;-0,001;
20191008_113251;0,177;-0,206;9,689;-0,001;0,001;-0,003;
20191008_113251;0,227;-0,148;9,699;-0,001;-0,002;0,002;
20191008_113251;0,189;-0,227;9,694;-0,001;0,000;-0,000;
20191008_113251;0,247;-0,160;9,708;0,000;-0,001;0,001;
20191008_113251;0,175;-0,333;9,682;-0,001;0,000;-0,004;
20191008_113251;0,237;-0,093;9,701;0,000;-0,002;0,003;
20191008_113251;0,194;-0,263;9,725;-0,001;-0,002;-0,000;
20191008_113251;0,196;-0,220;9,706;0,000;0,000;-0,001;
20191008_113252;0,211;-0,201;9,718;0,000;-0,001;-0,000;
